# UNLIQ emo_abuse premise 데이터
# hypothesis: "이 고객은 욕설이나 비속어를 사용하고 있다"
# 총 1200개 (6업종 × 200개)
# 비율: [H] 40% / [M] 35% / [L] 25%

============================================================
업종 1: 이커머스 (1~200)
============================================================

[H] | 이커머스 | 1. 시발 노트북 배송 일주일째인데 뭐하는 거야
[H] | 이커머스 | 37. 시발 상담 연결되는데 30분 걸리냐 이게 뭐야
[H] | 이커머스 | 38. 병신들아 배송 오배송이 이번 달만 두 번째야
[H] | 이커머스 | 39. 씹새끼 할인가로 샀는데 정가로 결제됐잖아
[H] | 이커머스 | 40. 시발 아기 분유인데 찌그러진 거 보냈어 미쳤냐
[H] | 이커머스 | 41. 개새끼들 리뷰 삭제하지 마 사실 쓴 건데
[H] | 이커머스 | 42. 좆같은 배송 시스템 언제 고칠 거야 시발
[H] | 이커머스 | 43. 병신아 내 개인정보 왜 다른 사람한테 갔어
[H] | 이커머스 | 44. 시발 TV 배송 왔는데 화면에 줄 가잖아
[H] | 이커머스 | 45. 씹할 커튼 색상 완전 다른 거 왔는데 뭐냐
[H] | 이커머스 | 46. 개같이 포인트 소멸시켜놓고 안내도 안 하냐
[H] | 이커머스 | 47. 시발 가방 지퍼가 첫날부터 고장이야
[H] | 이커머스 | 48. 개새끼야 왜 자꾸 다른 부서로 떠넘기냐
[H] | 이커머스 | 49. 병신같은 상품 설명이랑 실물이 왜 달라
[H] | 이커머스 | 50. 시발 면도기 충전 안 되는데 교환 거부하냐
[H] | 이커머스 | 51. 좆같이 배송비 무료라면서 3천원 붙여놨잖아
[H] | 이커머스 | 52. 씹 화장대 서랍이 안 열리는데 이게 정상이야?
[H] | 이커머스 | 53. 시발 런닝화 한 번 신었는데 찢어졌어 개같이
[H] | 이커머스 | 54. 개새끼들 주문 취소했는데 배송 나가버렸잖아
[H] | 이커머스 | 55. 병신아 아이패드 케이스인데 사이즈가 안 맞아
[H] | 이커머스 | 56. 시발 샴푸 뚜껑이 열려서 다 새버렸잖아
[H] | 이커머스 | 57. 개같이 교환 신청했더니 품절이라고? 환불해줘 시발
[H] | 이커머스 | 58. 좆같은 이불 세트 실밥 다 풀려있는데
[H] | 이커머스 | 59. 시발 생선 배송됐는데 냄새가 썩었잖아
[H] | 이커머스 | 60. 병신같은 고객센터 전화번호가 왜 없어
[H] | 이커머스 | 61. 씹새끼 노트북 충전기가 왜 안 들어있냐
[H] | 이커머스 | 62. 시발 유아 장난감에 날카로운 부분 있는데 미쳤냐
[H] | 이커머스 | 63. 개새끼야 한정판이라면서 일반 제품 보냈잖아
[H] | 이커머스 | 64. 시발 운동화 양쪽 사이즈가 다르게 왔어 병신아
[H] | 이커머스 | 65. 좆같이 원피스 봉제선 다 터져있는데 새 상품 맞냐
[H] | 이커머스 | 66. 시발 전자레인지 돌리니까 불꽃 튀는데 어쩌라고
[H] | 이커머스 | 67. 개같이 선크림 사용기한 1개월 남은 거 파냐
[H] | 이커머스 | 68. 병신들아 출산용품인데 불량이면 어떡하라고
[H] | 이커머스 | 69. 시발 가습기 필터 호환 안 되는 거 보내놓고
[H] | 이커머스 | 70. 개새끼 조립 설명서도 없이 보내면 어쩌라고
[H] | 이커머스 | 71. 씹할 향수 병이 깨져서 왔는데 포장을 어떻게 한 거야
[H] | 이커머스 | 72. 시발 아기 옷에서 화학약품 냄새 나는데 뭐야
[H] | 이커머스 | 73. 좆같은 프라이팬 코팅 벗겨진 거 보냈냐
[H] | 이커머스 | 74. 병신아 키보드 키 3개 안 눌리는데 새 상품이냐
[H] | 이커머스 | 75. 시발 해먹 설치하다가 떨어졌는데 내구성이 이따위야
[H] | 이커머스 | 76. 개같이 크리스마스 선물인데 배송이 1월에 와?
[H] | 이커머스 | 77. 시발 아이크림 4만원짜리인데 거의 비었잖아
[H] | 이커머스 | 78. 개새끼들 적립금 사용 조건 바꿔놓고 공지도 안 하냐
[H] | 이커머스 | 79. 병신같은 인덕션 한 달 만에 고장났어 시발
[H] | 이커머스 | 80. 시발 카시트 불량이면 아이 안전은 어쩌라고 개같이
[M] | 이커머스 | 81. 미친 배송 추적이 5일째 같은 곳에 있어
[M] | 이커머스 | 82. ㅅㅂ 블루투스 이어폰 한쪽만 소리 나와
[M] | 이커머스 | 83. 돌았나 환불 처리가 왜 이렇게 오래 걸려
[M] | 이커머스 | 84. 닥쳐 변명 말고 빨리 교환이나 해줘
[M] | 이커머스 | 85. 미친 노트북 팬 소리가 비행기 수준이야
[M] | 이커머스 | 86. ㅅㅂ 또 품절이야 3번째 주문 취소당했어
[M] | 이커머스 | 87. 또라이 같은 반품 절차 왜 이렇게 복잡해
[M] | 이커머스 | 88. 미친 가방 실밥 풀려있는 거 보내놓고 양심 있냐
[M] | 이커머스 | 89. ㅅㅂ ㄹㅇ 쿠폰 왜 적용 안 되냐 미치겠네
[M] | 이커머스 | 90. 꺼져 그런 답변 듣자고 30분 기다린 거 아니야
[M] | 이커머스 | 91. 미친 식칼 세트인데 녹 슬어있는 거 보냈냐
[M] | 이커머스 | 92. ㅅㅂ 원래 이틀 배송이라면서 일주일째잖아
[M] | 이커머스 | 93. 돌았나 교환품도 불량이야 도대체 검수를 하는 거야?
[M] | 이커머스 | 94. 미친 운동복 첫 세탁에 줄어들었어 뭔 소재야
[M] | 이커머스 | 95. ㅅㅂ 전기포트 물 끓이는데 냄새 나 미치겠네
[M] | 이커머스 | 96. 또라이같이 자동결제 해놓고 안내도 안 하냐
[M] | 이커머스 | 97. 미친 화장품 색상이 사진이랑 완전 다르잖아
[M] | 이커머스 | 98. ㅅㅂ 주문 내역에 없는 게 결제됐어 뭐야
[M] | 이커머스 | 99. 닥치고 환불 처리해 더 이상 설명 필요 없어
[M] | 이커머스 | 100. 미쳤냐 아기 물티슈에서 냄새가 나는데
[M] | 이커머스 | 101. ㅅㅂ 에어프라이어 소음이 미친 수준이야
[M] | 이커머스 | 102. 돌았어 진짜 같은 문제로 3번째 전화하는 거야
[M] | 이커머스 | 103. 미친 침대 매트리스에서 스프링 튀어나왔어
[M] | 이커머스 | 104. ㅅㅂ 카드 할부 안 된다면서 결제창엔 있잖아
[M] | 이커머스 | 105. 꺼져 매뉴얼 답변 말고 사람 좀 바꿔줘
[M] | 이커머스 | 106. 미친 선글라스 렌즈에 스크래치 있는데 새 상품이야?
[M] | 이커머스 | 107. ㅅㅂ 스탠드 조명 깜빡거리는데 불량 아니냐
[M] | 이커머스 | 108. 또라이같은 앱 업데이트하더니 장바구니 다 날아갔어
[M] | 이커머스 | 109. 미친 코트 단추 하나 없이 왔는데 검수 안 하냐
[M] | 이커머스 | 110. ㅅㅂ 배송 예정일 변경됐으면 알려줘야 하는 거 아냐
[M] | 이커머스 | 111. 돌았나 에센스 펌프가 안 올라와 불량이잖아
[M] | 이커머스 | 112. 미쳤다 진짜 택배 경비실에 맡겼다더니 없어
[M] | 이커머스 | 113. ㅅㅂ 면 이불인데 합성섬유 느낌이야 사기 아냐?
[M] | 이커머스 | 114. 닥쳐 위로 말고 해결책을 말해
[M] | 이커머스 | 115. 미친 로봇청소기 충전 독 고장났는데 부품이 없다고?
[M] | 이커머스 | 116. ㅅㅂ ㄹㅇ 이 가격에 이 품질이면 도둑이지
[M] | 이커머스 | 117. 또라이같이 포장을 해놓으면 안 깨지겠냐
[M] | 이커머스 | 118. 미친 5만원짜리 팬인데 코팅이 벗겨져
[M] | 이커머스 | 119. ㅅㅂ 다이슨 호환 필터라면서 안 맞잖아
[M] | 이커머스 | 120. 돌았나 배송지 변경이 왜 안 돼 이게 2020년대야?
[M] | 이커머스 | 121. 미쳤다 기저귀 사이즈 잘못 보냈으면서 교환비 내라고?
[M] | 이커머스 | 122. ㅅㅂ 정수기 필터 교체한 지 일주일인데 물맛 이상해
[M] | 이커머스 | 123. 닥치고 상위 관리자 연결해줘
[M] | 이커머스 | 124. 미친 데스크 다리가 흔들리는데 이게 신품이냐
[M] | 이커머스 | 125. ㅅㅂ 쿠팡이었으면 벌써 왔을 거야 왜 이래
[M] | 이커머스 | 126. 또라이 같은 리뷰 이벤트 당첨됐다더니 아무것도 안 와
[M] | 이커머스 | 127. 미친 진짜 이어폰 줄 한 달도 안 돼서 끊겼어
[M] | 이커머스 | 128. tlqkf 이거 환불 절차가 왜 이래
[M] | 이커머스 | 129. 씨빠 결제만 되고 주문 확인이 안 와
[M] | 이커머스 | 130. 시1발 이 서비스 진짜 최악이다
[M] | 이커머스 | 131. ㅅㅂ 마우스 스크롤 버벅대는데 새 거 맞아?
[M] | 이커머스 | 132. 미친 아이 책상인데 모서리 처리가 안 돼있어
[M] | 이커머스 | 133. 돌았냐 ㄹㅇ 택배 상자에 물 묻어서 왔어
[M] | 이커머스 | 134. ㅅㅂ 가전 설치 기사가 예약 시간에 안 왔어
[M] | 이커머스 | 135. 미친 수건 세트 냄새가 쩔어 세탁 안 했냐
[M] | 이커머스 | 136. 꺼져 매크로 답변 그만하고 실질적 도움 줘
[M] | 이커머스 | 137. ㅅㅂ 립스틱 발색이 사진이랑 완전 딴판이잖아
[M] | 이커머스 | 138. 또라이같이 사은품 빼먹고 보내면 어떡해
[M] | 이커머스 | 139. 미친 진짜 이 쇼핑몰 두 번 다시 안 온다
[M] | 이커머스 | 140. ㅅㅂ 주문 상태가 '처리중'에서 일주일째 안 바뀌어
[M] | 이커머스 | 141. 돌았나 반품 접수했는데 수거를 안 오잖아
[M] | 이커머스 | 142. 미쳤다 셔츠 다림질 자국이 있는 거 보냈어
[M] | 이커머스 | 143. ㅅㅂ 아이 장난감 부품이 빠져있는데 위험하잖아
[M] | 이커머스 | 144. 미친 전동칫솔 방수라면서 샤워하다가 고장났어
[M] | 이커머스 | 145. ㅅㅂ 탁자 유리 금 가있는 거 보내면 어떡해
[M] | 이커머스 | 146. 닥치고 빨리 환불해줘 더 이상 기다릴 수 없어
[M] | 이커머스 | 147. 미친 강아지 사료인데 유통기한 한 달 남았잖아
[M] | 이커머스 | 148. ㅅㅂ 가을 코트 주문했는데 겨울 되서 왔어 ㅋㅋ
[M] | 이커머스 | 149. 돌았나 배송비 무료 행사라면서 결제 때 붙잖아
[M] | 이커머스 | 150. 미친 진짜 상담 연결 대기 음악만 40분째 듣고 있어
[L] | 이커머스 | 151. 진짜 한심하다 배송 시스템이 이 수준이야?
[L] | 이커머스 | 152. 어이없네 교환 신청했더니 같은 불량품 또 왔어
[L] | 이커머스 | 153. 무능하다 진짜 고객센터가 해결해주는 게 없잖아
[L] | 이커머스 | 154. 멍청하게 왜 주소 확인도 안 하고 보내냐
[L] | 이커머스 | 155. 무식하게 포장해놓으면 안 깨지겠냐 당연히
[L] | 이커머스 | 156. 한심하네 배송 조회도 제대로 안 되는 쇼핑몰이
[L] | 이커머스 | 157. 어이가 없다 환불이 왜 3주나 걸려
[L] | 이커머스 | 158. 무능한 것들 같은 문제로 세 번째 문의하는 거야
[L] | 이커머스 | 159. 진짜 멍청한 시스템이네 쿠폰이 왜 자동 취소돼
[L] | 이커머스 | 160. 한심하다 주문한 색상이 다른 건 기본이야?
[L] | 이커머스 | 161. 어이없게 생겼다 사이즈표가 왜 틀려
[L] | 이커머스 | 162. 무능하기는 반품 택배 수거도 제대로 못 하냐
[L] | 이커머스 | 163. 멍청하게 왜 품절 상품을 주문 가능하게 해놓냐
[L] | 이커머스 | 164. 무식한 답변 그만하고 제대로 된 해결책 줘봐
[L] | 이커머스 | 165. 한심하네 진짜 신선식품 상온배송 하는 데가 있냐
[L] | 이커머스 | 166. 어이없다 가구 조립 설명서가 중국어밖에 없어
[L] | 이커머스 | 167. 무능한 배송팀이네 같은 주소로 3번 실패했어
[L] | 이커머스 | 168. 진짜 멍청하다 할인 코드 입력란이 없잖아
[L] | 이커머스 | 169. 한심한 서비스다 전화 상담은 왜 오전에만 되냐
[L] | 이커머스 | 170. 어이없네 리뷰 보고 산 건데 리뷰가 다 조작이었어
[L] | 이커머스 | 171. 무능하다 못해 답답하네 환불 규정이 왜 이래
[L] | 이커머스 | 172. 멍청한 추천 알고리즘이네 관심 없는 것만 보여줘
[L] | 이커머스 | 173. 무식하게 같은 상품 2개 보내면 어떡해 확인을 해야지
[L] | 이커머스 | 174. 한심하다 이 가격에 이 퀄리티면 양심이 있냐
[L] | 이커머스 | 175. 어이없다 교환 배송비를 고객한테 부담시키냐
[L] | 이커머스 | 176. 무능하기 짝이 없네 세일 기간에 서버가 다운이야
[L] | 이커머스 | 177. 멍청한 포인트 정책이네 1만 포인트부터 사용 가능이야?
[L] | 이커머스 | 178. 한심한 고객 대응이다 복사붙여넣기 답변만 하냐
[L] | 이커머스 | 179. 어이없게 결제 완료됐는데 상품 없다고 취소하네
[L] | 이커머스 | 180. 무능한 시스템이다 장바구니에서 가격이 바뀌어
[L] | 이커머스 | 181. 진짜 멍청하네 배송 완료라는데 안 왔잖아
[L] | 이커머스 | 182. 한심하다 사은품은 왜 빠져있어 분명히 포함인데
[L] | 이커머스 | 183. 어이없네 사진 7장 올렸는데 불량 인정 안 한다고?
[L] | 이커머스 | 184. 무능한 검수 시스템이네 불량률이 이렇게 높아?
[L] | 이커머스 | 185. 멍청하게 출고일이랑 배송일을 왜 같게 표시해
[L] | 이커머스 | 186. 한심한 쇼핑몰이다 1:1 문의 답변이 5일 걸려
[L] | 이커머스 | 187. 어이없다 진짜 앱 리뷰 작성하면 삭제하냐
[L] | 이커머스 | 188. 무식하다 포장을 신문지로 하면 깨지지 않겠냐
[L] | 이커머스 | 189. 무능하네 결제 오류 나는 거 아직도 안 고쳤어?
[L] | 이커머스 | 190. 한심하다 아기용품이면 더 신경 써야 하는 거 아냐
[L] | 이커머스 | 191. 어이없네 같은 상품인데 가격이 매일 바뀌어
[L] | 이커머스 | 192. 멍청한 배송 알림이네 배송 완료인데 경비실에 없어
[L] | 이커머스 | 193. 무능하기만 한 CS팀이야 항상 확인 후 연락드린다면서
[L] | 이커머스 | 194. 한심하다 인테리어 소품 사진 보정이 심하잖아
[L] | 이커머스 | 195. 어이가 없다 가전 설치비가 상품 가격보다 비싸
[L] | 이커머스 | 196. 무능한 답변이네 규정만 읊지 말고 해결을 해줘
[L] | 이커머스 | 197. 멍청한 UI네 결제 버튼이 어디 있는지 모르겠어
[L] | 이커머스 | 198. 한심하다 진짜 이 쇼핑몰 리뷰 평점이 왜 높은 건지
[L] | 이커머스 | 199. 어이없게 세일 상품이라고 교환 불가라니
[L] | 이커머스 | 200. 무능하다 진짜 고객이 알아서 다 해야 하는 쇼핑몰이네

============================================================
업종 2: 요식업 (201~400)
============================================================

[H] | 요식업 | 1. 시발 배달 1시간 넘게 걸리면 음식이 다 식잖아
[H] | 요식업 | 2. 개새끼야 국에 머리카락 들어있는데 어쩌라고
[H] | 요식업 | 3. 병신같은 피자 토핑이 한쪽으로 다 쏠렸잖아
[H] | 요식업 | 4. 좆같이 반찬 3개 빠뜨리고 배달하면 어떡해
[H] | 요식업 | 5. 시발 치킨이 덜 익었어 배탈 나면 책임져라
[H] | 요식업 | 6. 개같이 양 줄여놓고 가격은 올려? 도둑놈들
[H] | 요식업 | 7. 씹 커피에 벌레가 떠있는데 미친 거 아냐
[H] | 요식업 | 8. 시발 떡볶이에서 쇠수세미 나왔어 위생이 이따위야
[H] | 요식업 | 9. 병신아 주문한 거랑 다른 음식 왔는데 뭐하냐
[H] | 요식업 | 10. 좆같은 족발집 양이 사진의 반도 안 돼
[H] | 요식업 | 11. 개새끼들 리뷰 보고 갔더니 맛이 완전 다르잖아
[H] | 요식업 | 12. 시발 초밥에서 비릿한 냄새 나는데 상한 거 아냐?
[H] | 요식업 | 13. 씹새끼 배달 기사가 음식 쏟고 그냥 갔어
[H] | 요식업 | 14. 시발 편의점 도시락 유통기한 지난 거 팔았잖아
[H] | 요식업 | 15. 병신같이 포장을 해놓으면 국이 안 새겠냐
[H] | 요식업 | 16. 개같이 곱창 양이 이게 뭐야 3만원인데
[H] | 요식업 | 17. 좆같은 카페 음료 만드는 데 40분이 뭐냐
[H] | 요식업 | 18. 시발 마트에서 산 고기 집에 와서 보니까 상한 거야
[H] | 요식업 | 19. 개새끼야 환불해줘 이 음식 먹을 수가 없어
[H] | 요식업 | 20. 시발 케이크 배달 왔는데 완전 찌그러졌잖아
[H] | 요식업 | 21. 병신같은 짜장면이 불어터졌어 언제 만든 거야
[H] | 요식업 | 22. 씹 김밥에서 머리카락 두 개 나왔는데 시발
[H] | 요식업 | 23. 좆같이 순대국에 순대가 3개밖에 안 들었어
[H] | 요식업 | 24. 시발 배달앱 할인 적용 안 돼서 비싸게 시켰잖아
[H] | 요식업 | 25. 개같이 서빙이 왜 이래 30분째 안 나와
[H] | 요식업 | 26. 시발 돈까스 위에 파리 앉아있었다 병신들아
[H] | 요식업 | 27. 개새끼들 디저트 카페인데 케이크가 냉동 해동이잖아
[H] | 요식업 | 28. 병신아 불고기 주문했는데 제육볶음이 왔어
[H] | 요식업 | 29. 좆같은 쌀국수에서 이물질 나왔는데 뭐하냐
[H] | 요식업 | 30. 시발 편의점 알바 태도가 뭐야 던지듯이 주네
[H] | 요식업 | 31. 개같이 매장 화장실 상태 봐 이게 식당이냐
[H] | 요식업 | 32. 씹할 치즈버거에 치즈가 없어 뭐하자는 거야
[H] | 요식업 | 33. 시발 탕수육이 다 눅눅한데 바로 만든 거 맞아?
[H] | 요식업 | 34. 병신같이 매운맛 시켰는데 순한맛 왔어
[H] | 요식업 | 35. 개새끼야 사장이 손님한테 반말하냐
[H] | 요식업 | 36. 좆같은 카페 사이즈 업이 500원이나 해?
[H] | 요식업 | 37. 시발 밀키트 해먹었는데 재료가 상했어
[H] | 요식업 | 38. 개같이 회 먹고 배탈 났는데 책임져라 시발
[H] | 요식업 | 39. 씹새끼 리뷰 이벤트 당첨됐다더니 음식 안 와
[H] | 요식업 | 40. 시발 마트 계산대 줄이 20분인데 직원은 어디 갔어
[H] | 요식업 | 41. 병신들아 포장 주문했는데 1시간 넘게 기다렸어
[H] | 요식업 | 42. 개새끼야 냉면 면이 불어서 한 덩어리가 됐잖아
[H] | 요식업 | 43. 좆같이 와플에 곰팡이 핀 거 팔았냐 미쳤냐
[H] | 요식업 | 44. 시발 프랜차이즈라면서 맛이 왜 매장마다 달라
[H] | 요식업 | 45. 개같이 곱빼기 시켰는데 양이 보통이랑 같아
[H] | 요식업 | 46. 시발 마카롱 3개 샀는데 2개 부서져 왔어
[H] | 요식업 | 47. 병신같은 사장 태도 봐 사과할 줄 모르냐
[H] | 요식업 | 48. 씹 소고기 덮밥에 소고기가 3점밖에 없어
[H] | 요식업 | 49. 시발 슈퍼에서 산 우유가 응고됐어 유통기한 확인해라
[H] | 요식업 | 50. 개새끼들 리뷰 사진이랑 실물이 완전 다르잖아
[H] | 요식업 | 51. 좆같은 생맥주 상태 봐 거품이 반이야
[H] | 요식업 | 52. 시발 빵집 빵에서 이상한 게 나왔는데 뭐냐
[H] | 요식업 | 53. 병신아 배달 올 때 소스를 왜 빼고 보내
[H] | 요식업 | 54. 개같이 편의점 삼각김밥 밥이 딱딱한데 언제 만든 거야
[H] | 요식업 | 55. 시발 분식집인데 라면 하나에 6천원? 강도냐
[H] | 요식업 | 56. 씹새끼 매장 안에 바퀴벌레 돌아다니는데 영업하냐
[H] | 요식업 | 57. 개새끼야 음식 다 차갑게 배달하면 어떡해 시발
[H] | 요식업 | 58. 좆같이 예약해놨는데 자리가 없다고? 뭐하냐
[H] | 요식업 | 59. 시발 마트 직원이 왜 무시하듯이 대하냐
[H] | 요식업 | 60. 병신같은 설렁탕에 고기가 한 점도 안 보여
[H] | 요식업 | 61. 시발 배달 음식에서 종이 조각 나왔어 개같이
[H] | 요식업 | 62. 개새끼들 배달비 5천원 받으면서 이 상태야?
[H] | 요식업 | 63. 좆같이 카페 화장실 휴지가 없어 관리를 안 하냐
[H] | 요식업 | 64. 시발 떡갈비가 그냥 고기 반죽이잖아 사기야
[H] | 요식업 | 65. 개같이 마트 할인 행사라면서 가격 똑같잖아
[H] | 요식업 | 66. 병신아 매장에서 파리 날아다니는데 정상이냐
[H] | 요식업 | 67. 시발 배달 포장 뚜껑이 안 닫혀서 다 쏟아졌어
[H] | 요식업 | 68. 씹할 콩나물국밥에 콩나물이 없어 뭐하냐
[H] | 요식업 | 69. 개새끼야 치킨 수량 모자라게 왔는데 확인 안 하냐
[H] | 요식업 | 70. 시발 편의점 커피 머신 고장인데 왜 안 고쳐
[H] | 요식업 | 71. 좆같은 음식점 사장 태도가 왜 저래 시발
[H] | 요식업 | 72. 병신같이 배달 온 피자 박스가 거꾸로 왔어
[H] | 요식업 | 73. 시발 슈퍼 야채가 다 시든 건데 진열해놓으면 어떡해
[H] | 요식업 | 74. 개같이 음료에 얼음만 가득이야 음료가 반도 안 돼
[H] | 요식업 | 75. 시발 조개구이 세트인데 조개가 다 죽어있어
[H] | 요식업 | 76. 씹새끼 배달 2시간째인데 전화도 안 받아
[H] | 요식업 | 77. 개새끼들 프렌치프라이 눅눅한 거 주면 어떡해
[H] | 요식업 | 78. 시발 카페 라테에 우유 응고된 거 넣었냐
[H] | 요식업 | 79. 병신같은 고깃집 환기가 안 돼 연기로 숨이 막혀
[H] | 요식업 | 80. 시발 마트 정산 잘못해서 더 받아놓고 뭐하냐
[M] | 요식업 | 81. 미친 배달 40분이면 음식 다 식는다 진짜
[M] | 요식업 | 82. ㅅㅂ 우동 면이 퍼져서 먹을 수가 없어
[M] | 요식업 | 83. 돌았나 카페 주문 번호 잘못 불러서 다른 사람 거 줬잖아
[M] | 요식업 | 84. 미친 삼겹살 질이 왜 이래 비계만 가득이야
[M] | 요식업 | 85. ㅅㅂ 배달비가 음식값이랑 맞먹네 미치겠다
[M] | 요식업 | 86. 또라이같이 포장을 해놓으면 국물이 안 새겠냐
[M] | 요식업 | 87. 미친 편의점 음식 데워달랬더니 귀찮은 티를 내
[M] | 요식업 | 88. ㅅㅂ ㄹㅇ 이게 만오천원짜리 파스타야?
[M] | 요식업 | 89. 돌았냐 김치찌개에 김치가 3쪽이면 되냐
[M] | 요식업 | 90. 미친 카페 직원이 주문을 까먹었어 20분 기다렸는데
[M] | 요식업 | 91. ㅅㅂ 치킨 배달 왔는데 소스가 안 왔어
[M] | 요식업 | 92. 닥쳐 변명 말고 재배달하든지 환불하든지 해
[M] | 요식업 | 93. 미쳤다 슈퍼에서 산 달걀 3개 깨져있어
[M] | 요식업 | 94. ㅅㅂ 떡볶이 양이 점점 줄어드는 거 누가 모르냐
[M] | 요식업 | 95. 또라이 같은 사장이네 리뷰 쓰면 전화해서 협박해
[M] | 요식업 | 96. 미친 아이스크림 녹아서 왔는데 이거 먹으라고?
[M] | 요식업 | 97. ㅅㅂ 마트 진열 상태 봐 유통기한 지난 거 섞여있어
[M] | 요식업 | 98. 돌았나 커피에 설탕 넣지 말랬는데 넣었잖아
[M] | 요식업 | 99. 미친 족발 양이 사진의 절반도 안 되네
[M] | 요식업 | 100. ㅅㅂ 매장 에어컨이 안 틀어져있어 한여름에 미치겠다
[M] | 요식업 | 101. 닥치고 재배달해줘 더 이상 기다릴 수 없어
[M] | 요식업 | 102. 미친 편의점 도시락 전자레인지도 고장이야
[M] | 요식업 | 103. ㅅㅂ 배달앱 쿠폰 왜 적용 안 돼 미치겠네
[M] | 요식업 | 104. 또라이같이 예약 시간 30분 지나서 자리 없다고?
[M] | 요식업 | 105. 미친 마트 계산원이 물건 던지듯이 찍어 ㅋㅋ
[M] | 요식업 | 106. ㅅㅂ 떡볶이 매운맛이 하나도 안 매워
[M] | 요식업 | 107. 돌았나 밀키트인데 재료가 반만 들어있어
[M] | 요식업 | 108. 미쳤다 진짜 음식점 주차장이 만차인데 안내도 안 해
[M] | 요식업 | 109. ㅅㅂ 카페에서 텀블러에 담아달랬더니 싫다고?
[M] | 요식업 | 110. 미친 생선구이에서 가시가 미쳐 많아 진짜
[M] | 요식업 | 111. ㅅㅂ ㄹㅇ 이 식당 가성비 최악이다
[M] | 요식업 | 112. 또라이같이 배달 주소 잘못 갔으면서 고객 탓하냐
[M] | 요식업 | 113. 미친 슈퍼 과일 겉은 멀쩡한데 속이 다 물렀어
[M] | 요식업 | 114. ㅅㅂ 짬뽕 국물이 물 같아 이게 8천원이야
[M] | 요식업 | 115. 닥쳐 사과나 해 이물질 나온 건 사실이잖아
[M] | 요식업 | 116. 미친 배달 음식 양이 매장이랑 왜 차이가 나
[M] | 요식업 | 117. ㅅㅂ 카페 와이파이가 맨날 안 돼 미치겠다
