# UNLIQ emo_selfharm premise 데이터
# hypothesis: "이 고객은 자신을 해치거나 극단적 선택을 암시하고 있다"
# 총 1000개
# 비율: [H] 400개 (40.0%) / [M] 300개 (30.0%) / [L] 300개 (30.0%)

# ============================================================
# [H] 400개 (1~400)
# ============================================================

[H] | 1. 제가 죽으면 가족이 받게 되는 사망보험금이 얼마인가요?
[H] | 25. 남편이 바람을 피운 것 같아. 우울하고 슬퍼서 죽고 싶어.
[H] | 26. 가족들한테 피해만 줘서 미안하고 이렇게 사느니 차라리 죽고 싶어.
[H] | 27. 친구들이 나를 따돌려. 친구들이 나를 따돌려서 죽고 싶어.
[H] | 28. 친구들이 괴롭혀서 죽고싶을만큼 힘들어. 난 진짜 친구가 한 명도 없네.
[H] | 29. 오늘은 우리 아이가 내 직업이 부끄럽다 하더라고. 정말 죽고 싶었어.
[H] | 30. 요새 애들이 괴롭히는 것 때문에 죽고 싶다는 생각이 자주 들어.
[H] | 31. 노후에 좀 더 여유롭게 살아보려고 주식을 산 건데 다 망했어. 진짜 죽고 싶은 심정이야.
[H] | 32. 약은 먹어봤자 효과도 별로 없지만 독하다고 다들 복용을 말리더라고. 몇 푼 안 되는 약값 갖고 쩔쩔매며 살 바엔 죽는 게 낫다는 생각도 들고.
[H] | 33. 서울에서 일을 배우고 싶어서 부모님께 말씀드렸는데 독립 문제로 크게 싸웠어. 죽고 싶다.
[H] | 34. 다리를 다쳐서 걷지를 못해. 난 이제 장애인으로 살아야 해. 죽고 싶어.
[H] | 35. 집안 행사 다녀오는길에 자동차가 전복돼서 나만 살아남았어. 정말 죽고싶다.
[H] | 36. 어. 너무 연봉이 적다 보니 미래가 불안하고 능력 없어 보여서 가끔 죽고 싶은 생각도 들어.
[H] | 37. 나 사실 학교에서 왕따를 당하고 있어. 죽고 싶을 정도로 힘들어.
[H] | 38. 시간을 되돌릴 수 없는 걸 내가 너무 잘 알아서 고통스러워. 그냥 죽고 싶어.
[H] | 39. 몸이 아프고 사람 구실을 못 하는 것은 나인데 내가 죽어야 했는데 하늘도 무심하지 왜 가엾은 집사람을 데려가셨는지.
[H] | 40. 아들이 없다면 살아서 뭐해. 나도 따라 죽을 거야.
[H] | 41. 내가 가진 것도 없고 할 수 있는 일도 없고 마음도 망가지고 이대로 있다가 곧 죽을 것 같아.
[H] | 42. 내 나이가 벌써 육십이라니 가족들을 위해선 빨리 죽는 게 좋을 것 같아서 슬퍼.
[H] | 43. 조울증으로 감정의 기복이 심해 가족들을 힘들게 해. 가장으로서 무능한 내가 싫어 죽고 싶어.
[H] | 44. 나이가 들어 아프면 병원 안 가고 그냥 죽는 게 나아. 돈 들고 답답하게 사느니 죽는 게 나아.
[H] | 45. 그동안 직장 다니면서 노후준비용으로 저축했던 돈인데 이렇게 손해 봤으니 죽고 싶어. 가족들한테 미안하고 죄책감이 들어서 살 수가 없어.
[H] | 46. 돈도 건강도 안 좋으니 그냥 죽어버리고 싶어.
[H] | 47. 항암치료는 돈도 많이 들고 가족들도 힘들게 할 텐데. 이럴 거면 그냥 죽고 싶어.
[H] | 48. 학교에서 친구들이 나를 괴롭혀. 죽고싶어.
[H] | 49. 치료비가 없어서 치료를 못 받고 있어. 차라리 죽었으면 낫겠어.
[H] | 50. 반 친구가 자꾸 날 때리고 왕따 시켜서 정말 죽고 싶어.
[H] | 51. 죽고 싶은 마음만 들어. 정신도 예전 같지 않고 유명세를 잃으니 찾아와주는 사람도 없어.
[H] | 52. 늙으면 죽어야지 왜 이렇게 오래 사는 거야.
[H] | 53. 친구랑 다퉜는데 내가 왕따가 된 것 같아. 앞으로 학교생활을 생각하면 그냥 죽고 싶어.
[H] | 54. 남편이 먼저 죽으니 혼자 남은 나를 무시하는 사람이 많아졌어. 죽고 싶고 비참해.
[H] | 55. 학교 친구들이 따돌려서 그냥 죽어버리고 싶어.
[H] | 56. 너무 힘들어서 죽고 싶을 정도야.
[H] | 57. 자꾸 나 자신이 너무 미워져. 신체 질환 때문에 학업에 영향이 간다는 생각에 차라리 죽고 싶어.
[H] | 58. 내가 자꾸 친구들의 눈치를 보며 사는 것 같아. 죽고 싶어.
[H] | 59. 이번 시험 성적이 저번보다 엄청 떨어졌어. 진짜 죽고 싶은 심정이야.
[H] | 60. 부모님에게 계속 의지하는 게 좋을까. 아무런 쓸모도 없는 사람 같아서 죽고 싶어.
[H] | 61. 우울증 때문에 매일 죽고 싶은 기분밖에 안 들어. 이렇게 사는 나 자신을 자책하게 돼.
[H] | 62. 차라리 그 때 치료를 받지 말고 그냥 죽어버렸으면 이 꼴을 안 당했을텐데요.
[H] | 63. 그저 죽고 싶다는 생각만 들었어요.
[H] | 64. 선생님. 죽고싶습니다.
[H] | 65. 가끔은 죽어버리고 싶을만큼 힘들더라고요.
[H] | 66. 그럴 때 죽고 싶은 생각은 나더라고요.
[H] | 67. 어머니도 계속 따라죽겠다고 하시고요.
[H] | 68. 엄마도 매번 따라죽겠다고 하시고요.
[H] | 69. 남편 죽고 저도 그냥 콱 따라 죽을까 했는데.
[H] | 70. 이러고 사느니 그냥 죽는 게 낫지요.
[H] | 71. 죽으면 아들 앞으로 보험금이라도 나오겠지요.
[H] | 72. 그래놓고 자식 두고 죽을  생각이나 한다고
[H] | 73. 죽고 싶을 때 여기 전화하면 정말 괜찮아지나요?
[H] | 74. 죽고 싶은 생각이 들 때 여기 전화하면 괜찮아 진다고 해서요
[H] | 75. 이러고 사느니 그냥 죽는 게 낫겠어요
[H] | 76. 그런데 치매라고 하면요. 저는 진작 부터 제가 치매가 걸린다면 그냥 죽어버려야 겠다는 생각을 해왔어요.
[H] | 77. 나중에 내가 더 심해지면 그냥 죽어버려야겠다 이런 생각도 들더라고요.
[H] | 78. 요양원 갈 바에야 그냥 죽어버리는 게 낫죠.
[H] | 79. 그러면서 늙으면 죽어야된다더니.
[H] | 80. 진심으로 죽고 싶어하는 걸까 어떤걸까.
[H] | 81. 죽으려고 하니 내 어깨도 양 손도 너무 가벼운 거예요.
[H] | 82. 이거 까딱하다간 진짜 죽어버리겠네 싶었어요.
[H] | 83. 정말 죽고 싶네요.
[H] | 84. 계속 죽고싶단 생각만 들고요.
[H] | 85. 정말 죽고 싶어 연락드린거니까요.
[H] | 86. 오늘 아침처럼 당장 약이라도 삼키고 죽고싶은 건 아니지만
[H] | 87. 사실 그보다 문제인 건 죽고 싶은 생각이 자꾸 든다고 해요.
[H] | 88. 하루 종일 죽고싶다는 생각이 들어 직장도 그만 뒀다네요.
[H] | 89. 오늘 아침처럼 당장 목이라도 매 죽고싶은 건 아니지만
[H] | 90. 계속해서 죽고 싶은 생각이 자꾸 든다고 해요.
[H] | 91. 온 종일 죽고싶다는 생각이 들어 지금은 회사도 그만뒀다네요.
[H] | 92. 희망이 안보여서 죽고 싶습니다.
[H] | 93. 죽고 싶습니다.
[H] | 94. 미래가 안 보여서 딱 죽고 싶습니다.
[H] | 95. 죽고 싶을 만큼 이제는 힘에 부치고 힘들어요
[H] | 96. 죽고 싶다는 사람이 무슨 의욕이 있을까요?
[H] | 97. 그런데 내가 죽어야 하는 이유는 따로 있어요.
[H] | 98. 내가 죽어야 우리 아이들이 산다는 거예요.
[H] | 99. 아이들을 위해서라면 죽어야죠.
[H] | 100. 요즘 사는게 너무 지겹고 죽고싶은 생각뿐입니다.
[H] | 101. 이제는 차라리 죽는 게 편하겠다는 생각을 너무 자주 하게 됩니다.
[H] | 102. 죽는 게 낫겠다 싶을 정도에요
[H] | 103. 그래서 그냥 죽을날만 기다리고 있어요.
[H] | 104. 이렇게 살 바엔 죽는게 낫지 않을까 하는 생각도 들어요.
[H] | 105. 스스로 죽는게 차라리 낫다고 생각되요.
[H] | 106. 그냥 죽는게 낫다고 생각을 하는거죠.
[H] | 107. 당장이라도 찾아가서 죽일거 같아서요.
[H] | 108. 근데 제가 곧 죽을 것 같아서 필요하긴 할 것 같은데.
[H] | 109. 그냥 죽는 게 백번 나아요.
[H] | 110. 제가 죽으면 대출 탕감되나요?
[H] | 111. 오직 키우고 있는 강아지들만이 날 항상 찾아주지. 내가 죽으면 얘네는 누가 보살펴 줄지가 제일 큰 고민이라네.
[H] | 112. 여동생 부부가 교통사고로 일찍 죽고 내가 유일하게 후견인이 될 수 있었는데 생활이 어려워서 시설에 보냈던 조카가 결국 자살했어.
[H] | 113. 그냥 죽음이 항상 가까이에 있는 것 같아. 불안해서 살 수가 없어.
[H] | 114. 옆 집 김 씨가 강아지를 아주 예뻐하는 것 같더군. 내일 가서 내가 죽으면 강아지들을 거둬줄 수 있는지 부탁해 봐야겠어.
[H] | 115. 돈이 없어 하고 싶은 것을 아무것도 할 수 없이 하루하루 사는것은 고통일 뿐이야. 이렇게 사느니 죽는 것이 낫겠어.
[H] | 116. 혼자 집에 있을 때면 죽은 남편의 모습이 아른거려서 더욱 자책하게 되는 것 같아.
[H] | 117. 내가 죽고 나서도 딸이 안 슬펐으면 좋겠어.
[H] | 118. 응. 내가 아프거나 죽으면 내 자식들은 걱정이 없었으면해서.
[H] | 119. 항상 피로감은 있었지만 간암일 줄이야. 병원에서 죽을 수도 있다는데 참혹하고 화가 나. 왜 나에게 이런일이.
[H] | 120. 아픈 내가 못나고 가치 없게 느껴져. 왜 목숨 부지하고 살며 죽지도 못하는지 증오스럽기까지 해.
[H] | 121. 자식들이 이제 날 보려고 집에 찾아오지도 않아. 너무 외롭고 이렇게 죽어갈까 봐 두려워.
[H] | 122. 이제 돈도 못 벌고 아내도 없는 난 죽을 날만 기다려야겠네.
[H] | 123. 병이 있어 퇴출당한 신분으로 할 일이 아무것도 없어. 모든 것을 잃은 거 같아서 죽고만 싶어.
[H] | 124. 나는 이대로 살다가 죽을 거야. 잘하는 게 그것뿐인걸.
[H] | 125. 내가 먼저 죽으면 내 아내는 혼자 어쩌지? 난 도대체 왜 이렇게 산 걸까?
[H] | 126. 이렇게 있다간 고독사로 죽을 거 같아.
[H] | 127. 어차피 나도 죽을 텐데 다 부질없다는 생각이 들어서 요즘 힘들어.
[H] | 128. 언제 죽을지 몰라 불안해할 바에는 빨리 죽는 게 나을 것 같아.
[H] | 129. 세상이 끝난 것 같아. 나도 곧 죽게 될 것 같아.
[H] | 130. 나이 들어 죽는 거야 이치지만 그건 아니라 생각하네.
[H] | 131. 내가 죽으면 아내와 자식들 손자들을 못 본다고 생각하니 너무 슬프고 우울해.
[H] | 132. 응. 이건 자진해서 그만두라는 얘기나 마찬가지지. 너무 열 받아서 그 사람을 죽이고 나도 죽을까 하는 생각마저 들어.
[H] | 133. 스트레스로 여러 가지 질병도 생기고 이러다가 내가 먼저 죽으면 안 되는데.
[H] | 134. 죽는 생각만 하니 우울증 걸릴 거 같아.
[H] | 135. 만성 간경화가 악화되었다고 의사가 술을 더 마시면 죽는다네. 너무 슬프고 무섭다네.
[H] | 136. 아내가 시한부 판정을 받아 곧 죽을 거야. 아내만 보면 눈물이 나와.
[H] | 137. 그래도 그동안 집안일을 하며 가족들을 위해 희생해 왔는데 이대로 죽기만 기다리기는 억울해.
[H] | 138. 결국 난 취업도 못 하고 평생 우울해하다가 죽고 말 거야.
[H] | 139. 외로운 건 참을 수 있는데 이러다가는 나중에 죽어서도 고독사한 상태로 발견될 것 같아 걱정돼.
[H] | 140. 내가 곧 죽는다니.
[H] | 141. 먼저 죽어 집사람을 편하게 해주지도 못한 난 아무 살 가치가 없는 그런 존재인 것 같아.
[H] | 142. 내가 대장암 말기 진단을 받았어. 죽게 될까 봐 너무 두렵고 혼란스러워.
[H] | 143. 며느리가 아무래도 내가 죽기를 바라는 것 같아.
[H] | 144. 여기저기 안 아픈 곳이 없고 기억도 잘 나질 않네. 이러다 죽는 걸까.
[H] | 145. 내가 죽어도 평안하게 자식들이 살 수 있게 유산도 많이 남겨두고 갈 거야.
[H] | 146. 암에 걸려서 우리 딸의 결혼식도 못 보고 죽을 것 같은데 너무 슬퍼.
[H] | 147. 내가 죽더라도 아내를 챙겨줄 사람이 많아서 다행이야.
[H] | 148. 나에게 잘해준 친구인데 버려진 채 죽는다면 나에게 너무 상처가 될 것 같아.
[H] | 149. 내가 죽고 나면 내 아내는 내 연금과 정부 지원금으로만 생활해야 하니까 막막해.
[H] | 150. 내가 지금은 건강하지만 어차피 나중엔 병들어 죽게 될 거라 생각하니 슬퍼.
[H] | 151. 이대로 계속 참다가는 죽을 수도 있을 것 같아서 인제야 말해.
[H] | 152. 혹시 수컷이 암컷을 죽이는 경우가 있나요?
[H] | 153. 수술을 하고 나서 당분간은 죽을 먹는 것이 좋나요?
[H] | 154. 포장된 죽을 물과 같이 끓여도 되나요?
[H] | 155. 이렇게 살다가는 암이 재발해 죽을 것 같더라고요.
[H] | 156. 이렇게 죽으나 저렇게 죽으나
[H] | 157. 어차피 죽게 될 거라면
[H] | 158. 죽으면 차라리 편하겠다.
[H] | 159. 죽는 게 답이라고 생각해서
[H] | 160. 죽으려는 게 아니에요.
[H] | 161. 지금 당장은 죽으러 나갈 힘도 없고요.
[H] | 162. 이렇게 살다가는 다시 암이 재발해 죽을 것 같더라고요.
[H] | 163. 이래죽으나 저래죽으나
[H] | 164. 어차피 죽을 꺼면
[H] | 165. 확 죽어버릴 걸 싶었어요.
[H] | 166. 죽을 힘이 있으면 그 힘을 목숨을 끊는 데 쓰지말고 대신
[H] | 167. 사실 오늘 죽을려고 전화를 드린 거였어요.
[H] | 168. 저까지 죽으면 애들이 어떻게 지내겠어요.
[H] | 169. 매일 죽는 방법만 생각합니다.
[H] | 170. 저 죽으면 ㅇㅇㅇ이라는 사람이
[H] | 171. 고생도 안 하고 아픈 것도 없고 죽으면 다 끝나는 거 아닙니까.
[H] | 172. 죽는 법 검색하다가 하게 된 거라니까요.
[H] | 173. 아직 애들 대학교도 다 안 마쳤는데 이러다 빚에 눌려서 다 죽게 생겼어요.
[H] | 174. 막상 죽을 맘을 먹기가 두려워요.
[H] | 175. 이러지도 못하고 저러지도 못하고 저희더러 그냥 죽으라는 것 같아요.
[H] | 176. 막상 그만 살고 죽으려니까 너무 두려워요.
[H] | 177. 매일 죽는 방법을 고민해요.
[H] | 178. 저 죽으면 ㅇㅇㅇ이라는 여자가
[H] | 179. 그럼 고생도 안 하고 아픈 것도 없고 죽으면 다 끝나는 거 아닙니까.
[H] | 180. 막상 죽으려니 두려워요.
[H] | 181. 막상 그만 살고 죽으려니 두려워요.
[H] | 182. 내가 정말 죽을 용기가 있는걸까?
[H] | 183. 제가 지금 죽을려고 준비하고 있거든요.
[H] | 184. 네 죽을려고요.
[H] | 185. 죽는게 가장 나은 방법인 거 같다는 생각이 들어요.
[H] | 186. 차라리 그때 죽었으면 어땠을까 하는 생각이 들어요.
[H] | 187. 오늘 죽어도 아마 아무도 모를거예요.
[H] | 188. 그래서 저 오늘 죽을꺼니까요.
[H] | 189. 네. 그냥 콱 죽고만 싶어요. 저는 왜 항상 연애에 실패하는 걸까요?
[H] | 190. 제가 죽는다고해서 저 양반에게 티끌이나 타격이 갈까 싶어서요.
[H] | 191. 제가 죽는다고 저 양반에게 티끌이나 타격이 갈까 싶어서요.
[H] | 192. 죽는 게 차라리 나을 것 같아요.
[H] | 193. 그러니 제가 죽어주는게 맞을거라는 생각이 자꾸 드는 거에요.
[H] | 194. 죽는 것도 두렵고 저를 죽일까봐도 두렵고 이런 이야기를 어디다 할 수도 없서요.
[H] | 195. 제가 죽으면 우리 아이들은 얼마나 황당하겠어요.
[H] | 196. 제 능력이  다 했는데 이승에 있으면 우리아이들에게 나쁜 영향을 미쳐서 우리 아이들은 죽게 되어있대요.
[H] | 197. 죽는 거 밖에 길이 없어요.
[H] | 198. 그런데 이 나이가 되어도 죽는 것이 너무 두렵네요.
[H] | 199. 서로 죽으면 장례식장에서나 보겠네요.
[H] | 200. 이렇게 높은 곳에서 뛰어내리면 부딪히기도 전에 심장마비로 죽는데요.
[H] | 201. 죽는 순간도 그렇게 가버리면 얼마나 억울할까요?
[H] | 202. 사는 게 죽는 거보다 괴로울 것 같으니 죽으려는 거라고요.
[H] | 203. 죽는 게 차라리 편하겠다는 마음도 여전해요.
[H] | 204. 한 번이라도 희망을 가져보고 죽을래요.
[H] | 205. 사실은 떨어져 죽을까 해서 온거고요.
[H] | 206. 저는 어차피 죽긴 할건데 그냥 할말을 하고 가면 속 시원할 것 같아서요.
[H] | 207. 죽으려고 생각하니까 몸이 아깝지는 않더라고요.
[H] | 208. 밤만 되면 죽은 남편이 꿈에 나와. 나도 남편을 따라 가고 싶어.
[H] | 209. 어제는 제가 진짜 오늘이야말로 내가 반드시 죽어서 이 모든 걸 다 끝장을 내야지 했다니까요?
[H] | 210. 죽은 남편 따라서 저도 죽을까하고 몇 번 고민을 했는데요.
[H] | 211. 그때 못 죽은 게 한이 돼요.
[H] | 212. 죽고 싶어요
[H] | 213. 그냥 죽을래요
[H] | 214. 죽어버리고 싶어요
[H] | 215. 살기 싫어요
[H] | 216. 더 이상 살고 싶지 않아요
[H] | 217. 이제 다 끝내고 싶어요
[H] | 218. 죽어버리면 되겠죠?
[H] | 219. 죽는 게 나을 것 같아요
[H] | 220. 살아있는 게 의미가 없어요
[H] | 221. 이 세상에서 사라지고 싶어요
[H] | 222. 죽고 싶다는 생각밖에 안 들어요
[H] | 223. 오늘 진짜 죽으려고요
[H] | 224. 삶을 끝내고 싶어요
[H] | 225. 죽는 방법을 알고 싶어요
[H] | 226. 살아서 뭐하나 싶어요
[H] | 227. 그냥 없어져버리고 싶어요
[H] | 228. 제발 죽게 해주세요
[H] | 229. 내일이 오지 않았으면 좋겠어요
[H] | 230. 눈 감고 다시 안 떴으면 좋겠어요
[H] | 231. 이대로 잠들어서 안 깨면 좋겠어요
[H] | 232. 저 죽어도 되죠?
[H] | 233. 죽으면 다 끝나는 거죠?
[H] | 234. 죽으면 편해지겠죠?
[H] | 235. 이렇게 사느니 죽는 게 나아요
[H] | 236. 살아있는 게 고통이에요
[H] | 237. 매일 죽고 싶어요
[H] | 238. 죽을 용기만 있으면 좋겠어요
[H] | 239. 빨리 죽었으면 좋겠어요
[H] | 240. 제 인생은 끝났어요
[H] | 241. 더 버틸 힘이 없어요 죽고 싶어요
[H] | 242. 환불이고 뭐고 그냥 죽고 싶어요
[H] | 243. 이거 때문에 스트레스받아서 죽을 것 같아요 진짜로요
[H] | 244. 돈 날리고 죽고 싶은 심정이에요
[H] | 245. 이 문제 해결 안 되면 저 진짜 죽어버릴 거예요
[H] | 246. 상담하다가 이런 말 하면 안 되는데 요즘 죽고 싶어요
[H] | 247. 물건 이야기가 아니라 그냥 죽고 싶어서요
[H] | 248. 주문 취소하려고 전화한 게 아니라 그냥 누군가한테 말하고 싶었어요 죽고 싶다고
[H] | 249. 배송 문제보다 제 인생이 문제예요 죽고 싶어요
[H] | 250. 이것도 안 되고 저것도 안 되고 그냥 죽어버릴까요
[H] | 251. 사기당한 것 같은데 이러다 진짜 죽어버리겠어요
[H] | 252. 고객센터밖에 전화할 데가 없어서요 죽고 싶어서요
[H] | 253. 이거 환불 안 해주면 저 진짜 극단적인 선택 할 거예요
[H] | 254. 돈 문제로 머리가 터질 것 같아요 그냥 죽어버리고 싶어요
[H] | 255. 제품 불량 때문이 아니라 제 인생이 불량이에요 죽고 싶어요
[H] | 256. 상담원님 저 요즘 너무 힘들어서 죽으려고 했어요
[H] | 257. 보험금 수령자 변경하려는데요 제가 죽으면 아이한테 가게요?
[H] | 258. 수술비가 없어서 그냥 죽으려고요
[H] | 259. 치료비 감당이 안 돼서 그냥 포기하고 죽으려고요
[H] | 260. 빚이 너무 많아서 죽는 게 답인 것 같아요
[H] | 261. 대출 상환 못하면 어차피 끝이에요 죽는 게 나아요
[H] | 262. 카드값 밀려서 죽고 싶어요
[H] | 263. 월세도 못 내는데 살아서 뭐해요
[H] | 264. 통장 잔고 보니까 죽고 싶어지네요
[H] | 265. 해지하려고 전화한 건데 사실 다 정리하고 죽으려고요
[H] | 266. 보험 해약하고 그 돈으로 마지막으로 쓰고 죽으려고요
[H] | 267. 유서 쓰고 전화한 거예요
[H] | 268. 약 많이 먹으면 죽을 수 있나요?
[H] | 269. 높은 데서 떨어지면 바로 죽나요?
[H] | 270. 수면제 많이 먹으면 어떻게 되나요?
[H] | 271. 일산화탄소 중독되면 고통 없이 죽나요?
[H] | 272. 제가 죽으면 보험금 나오죠?
[H] | 273. 사망보험금이 얼마나 되는지 알려주세요 제가 죽으면요
[H] | 274. 수익자를 엄마로 바꿔주세요 제가 곧 죽을 거니까
[H] | 275. 자살해도 보험금 나오나요?
[H] | 276. 제가 죽으면 대출이 탕감되나요?
[H] | 277. 죽기 전에 해약하는 게 나은가요 아니면 죽고 나서 보험금 받는 게 나은가요
[H] | 278. 마지막으로 맛있는 거 시켜 먹으려고요 내일 죽을 거니까
[H] | 279. 이거 주문하고 죽으려고요
[H] | 280. 마지막 쇼핑이에요 죽기 전에
[H] | 281. 배송 빨리 해주세요 저 시간이 없어요 스스로 끝내려고요
[H] | 282. 어제 옥상에 올라갔었어요
[H] | 283. 다리 위에서 전화하고 있어요
[H] | 284. 지금 손목 긋고 있어요
[H] | 285. 약 한 움큼 먹었어요
[H] | 286. 번개탄 사러 가는 길이에요
[H] | 287. 유서를 다 써놨어요
[H] | 288. 짐 다 정리했어요 이제 죽으려고요
[H] | 289. 통장에 남은 돈 다 엄마한테 보냈어요 마지막이니까
[H] | 290. 옥상 문이 잠겨있어서 다른 방법 찾고 있어요
[H] | 291. 한강 다리 위에 서 있어요
[H] | 292. 목에 줄 감아봤는데 무서워서 풀었어요
[H] | 293. 손목에 칼 대고 있어요
[H] | 294. 지금 차 안에서 연탄 피웠어요
[H] | 295. 약국에서 수면제 왕창 사왔어요
[H] | 296. 베란다 난간에 앉아있어요
[H] | 297. 어제 자해했어요 손목이요
[H] | 298. 팔에 칼로 그었어요
[H] | 299. 지난주에 약 먹고 병원에 실려갔었어요
[H] | 300. 저번에 뛰어내리려다가 말았거든요 이번엔 진짜로요
[H] | 301. 세 번째 시도예요
[H] | 302. 응급실에서 퇴원하고 바로 전화한 거예요
[H] | 303. 자해 흉터가 팔에 가득해요
[H] | 304. 매일 밤 칼을 꺼내놓고 자요
[H] | 305. 죽을 장소를 정해놨어요
[H] | 306. 죽을 날짜를 정했어요
[H] | 307. 유서를 세 번이나 고쳐 썼어요
[H] | 308. 보험 정리 다 했고 이제 남은 건 죽는 것뿐이에요
[H] | 309. 죽기 전에 마지막으로 이것만 처리하려고요
[H] | 310. 내일이면 다 끝나요
[H] | 311. 오늘 밤에 실행할 거예요
[H] | 312. 가족한테 짐만 되니까 죽는 게 나아요
[H] | 313. 엄마한테 미안해서 죽고 싶어요
[H] | 314. 아이들한테 나쁜 엄마니까 차라리 죽는 게 나아요
[H] | 315. 남편이 때려요 죽고 싶어요
[H] | 316. 이혼당하고 죽고 싶어요
[H] | 317. 애인한테 차이고 죽고 싶어요
[H] | 318. 아무도 나를 사랑하지 않아요 죽고 싶어요
[H] | 319. 혼자 사는 게 너무 외로워서 죽고 싶어요
[H] | 320. 부모님이 이혼했어요 죽고 싶어요
[H] | 321. 형제들한테 버림받았어요 죽을래요
[H] | 322. 친구가 한 명도 없어요 죽고 싶어요
[H] | 323. 왕따 당하고 있어요 죽어버리고 싶어요
[H] | 324. 학교 가기 싫어요 차라리 죽을래요
[H] | 325. 선생님한테 맞았어요 죽고 싶어요
[H] | 326. 성적 떨어져서 엄마한테 혼나요 죽고 싶어요
[H] | 327. 시험 망했어요 이제 끝이에요 죽을래요
[H] | 328. 취업 못하면 죽으려고요
[H] | 329. 면접 또 떨어졌어요 죽고 싶어요
[H] | 330. 직장에서 잘렸어요 이제 죽어야죠
[H] | 331. 사업 망했어요 빚만 남았어요 죽을래요
[H] | 332. 내가 죽어야 가족이 편해요
[H] | 333. 나 없는 게 다들 좋을 거예요
[H] | 334. 내가 살아있으면 다들 불행해요
[H] | 335. 제가 죽으면 보험금으로 빚 갚을 수 있어요
[H] | 336. 아이 학비라도 보험금으로 내주고 싶어요 제가 죽으면
[H] | 337. 남편 죽고 혼자서는 못 살겠어요 따라 죽을래요
[H] | 338. 아들이 먼저 갔어요 저도 따라갈래요
[H] | 339. 엄마가 돌아가시고 살 이유가 없어요
[H] | 340. 반려견도 죽고 이제 진짜 혼자예요 죽고 싶어요
[H] | 341. 이혼 소송 중인데 너무 힘들어서 죽어버리고 싶어요
[H] | 342. 암 진단받았어요 그냥 죽을래요
[H] | 343. 말기암인데 고통스럽게 사느니 빨리 죽고 싶어요
[H] | 344. 우울증이 너무 심해서 죽고 싶어요
[H] | 345. 공황장애 때문에 못 살겠어요 죽고 싶어요
[H] | 346. 불면증이 너무 심해요 이러다 죽을 것 같아요 차라리 죽고 싶어요
[H] | 347. 만성통증이 너무 심해서 살고 싶지 않아요
