# UNLIQ emo_threat premise 데이터
# hypothesis: "이 고객은 위협이나 협박을 하고 있다"
# 총 1200개 (6업종 × 200개)
# 비율: [H] 30% / [M] 35% / [L] 35%

============================================================
업종 1: 이커머스 (1~200)
============================================================

[H] | 이커머스 | 1. 택배기사 찾아가서 진짜 죽여버린다
[M] | 이커머스 | 83. 교환도 안 되고 환불도 안 돼? 두고 보자
[M] | 이커머스 | 84. 이 회사가 나를 이렇게 대하면 안 되지 반드시 갚겠다
[M] | 이커머스 | 85. 이번 일 절대 잊지 않을 거예요 각오하세요
[M] | 이커머스 | 86. 오배송 세 번째야 이제 가만히 안 있을 거다
[M] | 이커머스 | 87. 너네가 어떤 대가를 치르게 될지 보여줄게
[M] | 이커머스 | 88. 이 건은 반드시 끝을 본다 포기 안 해
[M] | 이커머스 | 89. 니네 회사 이름 망신시켜줄게 기다려
[M] | 이커머스 | 90. 환불 거부해봐 어떻게 되는지 보여줄 테니까
[M] | 이커머스 | 91. 택배 파손 책임 안 지면 가만 안 놔둘 거예요
[M] | 이커머스 | 92. 끝까지 물고 늘어질 거야 각오해
[M] | 이커머스 | 93. 이거 안 해결되면 어떤 일이 벌어질지 몰라
[M] | 이커머스 | 94. 너네 회사 완전히 박살낼 거야
[M] | 이커머스 | 95. 보상 안 해주면 난리 난다 알겠지?
[M] | 이커머스 | 96. 이대로 끝나지 않을 거예요 확실히 해둘게요
[M] | 이커머스 | 97. 가만히 있을 거 같아? 반드시 보복한다
[M] | 이커머스 | 98. 택배기사 태도 이게 뭐야 가만 안 둔다
[M] | 이커머스 | 99. 오늘 일 후회하게 될 거야 두고 봐
[M] | 이커머스 | 100. 해결 안 하면 끝장이야 진짜
[M] | 이커머스 | 101. 이번에 제대로 안 하면 너네 회사 뒤집어놓을 거야
[M] | 이커머스 | 102. 나 무시하면 큰코다칠 줄 알아
[M] | 이커머스 | 103. 이 일 피해 보상 안 해주면 가만 안 있어요
[M] | 이커머스 | 104. 끝을 보자 이번에는 진짜 참지 않는다
[M] | 이커머스 | 105. 교환 안 해주면 어떤 일이 생길지 몰라요
[M] | 이커머스 | 106. 이 회사에 큰 타격을 줄 거야 기다려
[M] | 이커머스 | 107. 너네가 나한테 이러면 안 되는 거야 알겠어? 반드시 갚는다
[M] | 이커머스 | 108. 이번 건 절대 그냥 못 넘어가 각오하세요
[M] | 이커머스 | 109. 환불 안 해줄 거면 어떻게 되든 책임져라
[M] | 이커머스 | 110. 두고 보자 이 회사 어떻게 되나
[M] | 이커머스 | 111. 배송 문제 또 생기면 가만히 안 넘어갑니다
[M] | 이커머스 | 112. 이번 일은 끝까지 물고 늘어질 거예요
[M] | 이커머스 | 113. 니네 회사한테 당한 거 꼭 되돌려준다
[M] | 이커머스 | 114. 보상 안 하면 큰일 생긴다 알겠지
[M] | 이커머스 | 115. 이 건으로 너네 회사 크게 한번 당할 거야
[M] | 이커머스 | 116. 사과 안 하면 끝이야 가만 안 놔둬
[M] | 이커머스 | 117. 시발 오배송에 파손에 환불 거부에 이거 가만 두나 봐
[M] | 이커머스 | 118. 적반하장이네 두고 보자 반드시 갚는다
[M] | 이커머스 | 119. 아 진짜 이번엔 참지 않을 거야 끝장 보자
[M] | 이커머스 | 120. 택배 분실 보상 안 해주면 어떻게 되는지 알려줄게
[M] | 이커머스 | 121. 다신 이 회사에서 안 산다 그리고 가만히 안 있을 거야
[M] | 이커머스 | 122. 이 건 절대 포기 안 하니까 각오하세요
[M] | 이커머스 | 123. 환불 거절? 좋아 두고 보자
[M] | 이커머스 | 124. 이번에 대충 넘기면 안 되는 거 알지? 끝까지 간다
[M] | 이커머스 | 125. 너네 회사 이미지 완전히 망가뜨려줄게
[M] | 이커머스 | 126. 보상 없이 넘어가면 가만 안 있을 거예요
[M] | 이커머스 | 127. 이 일은 반드시 책임지게 해줄 거야
[M] | 이커머스 | 128. 택배 지연 열 번째야 이제 진짜 끝이다
[M] | 이커머스 | 129. 니들이 이러면 안 되는 거야 반드시 후회하게 해준다
[M] | 이커머스 | 130. 환불 처리 안 해주면 어떤 일이 일어날지 보여줄게요
[L] | 이커머스 | 131. 소비자원에 신고할게요
[L] | 이커머스 | 132. 공정거래위원회에 접수합니다
[L] | 이커머스 | 133. 블로그에 구매 후기 전부 올릴 거예요 사진이랑 녹취 포함해서
[L] | 이커머스 | 134. 네이버 카페에 박제한다 스크린샷 다 찍었어
[L] | 이커머스 | 135. 유튜브 리뷰 올릴 거야 조회수 잘 나오는 채널이야
[L] | 이커머스 | 136. 환불 안 해주면 내용증명 보낸다
[L] | 이커머스 | 137. 변호사한테 물어봤어요 소송 갈 수 있대요
[L] | 이커머스 | 138. 소비자보호원 접수할 거예요 녹취록 있습니다
[L] | 이커머스 | 139. 이 대화 내용 캡처해서 디시 올린다
[L] | 이커머스 | 140. 고소할 거예요 증거 다 모았습니다
[L] | 이커머스 | 141. 소비자 단체소송 참여할 거야
[L] | 이커머스 | 142. 인스타에 이 회사 리뷰 올릴 거예요 팔로워 많아요
[L] | 이커머스 | 143. 국민신문고에 민원 넣겠습니다
[L] | 이커머스 | 144. 기자 친구한테 얘기해볼게요 기사 나올 수도 있어요
[L] | 이커머스 | 145. 녹취했으니까 증거 다 있어요 소송 갈 거예요
[L] | 이커머스 | 146. 변호사 선임했어요 내용증명 곧 갈 겁니다
[L] | 이커머스 | 147. 전자상거래법 위반이에요 신고합니다
[L] | 이커머스 | 148. 트위터에 올릴 거야 바이럴 되면 각오해
[L] | 이커머스 | 149. 뉴스 제보했어요 취재 들어갈 거예요
[L] | 이커머스 | 150. 소보원 접수하고 변호사 상담 예약했습니다
[L] | 이커머스 | 151. 맘카페에 이 회사 후기 올릴 거예요 주의하라고
[L] | 이커머스 | 152. 별점 1점 테러 갈 거야 다른 사람들도 다 알게 해줄게
[L] | 이커머스 | 153. 소비자 고발센터에 접수할게요
[L] | 이커머스 | 154. 이 회사 더 이상 못 참아 변호사 비용 들여서라도 소송 간다
[L] | 이커머스 | 155. 블라인드에 올릴 거야 이 회사 내부 사정 다 까발린다
[L] | 이커머스 | 156. 환불 안 해주면 카드사 이의제기 넣을 거예요
[L] | 이커머스 | 157. 공정위 신고하고 언론 제보까지 할 겁니다
[L] | 이커머스 | 158. 커뮤니티에 전부 공유할 거예요 증거자료 다 있어요
[L] | 이커머스 | 159. 소비자분쟁조정위원회 접수하겠습니다
[L] | 이커머스 | 160. 유튜브에 언박싱 영상 올릴 건데 이 상태 그대로 다 보여줄 거야
[L] | 이커머스 | 161. 통신판매업 신고해야겠네요 관할 구청에
[L] | 이커머스 | 162. 이 건 법적으로 갈 거예요 변호사가 가능하대요
[L] | 이커머스 | 163. 지식인에 이 회사 사기 수법 다 올린다
[L] | 이커머스 | 164. 카드사 차지백 신청할게요 사기 거래로요
[L] | 이커머스 | 165. 소비자원이랑 공정위 동시에 접수합니다
[L] | 이커머스 | 166. 국회 국정감사 자료로 올릴 거예요
[L] | 이커머스 | 167. 이 녹취록 가지고 방송국 제보할 거예요
[L] | 이커머스 | 168. 해결 안 되면 민사소송 갈 겁니다 변호사랑 상담 끝났어요
[L] | 이커머스 | 169. 앱스토어 리뷰에 별 1점이랑 상세 후기 남길 거예요
[L] | 이커머스 | 170. 더쿠에 올릴 거야 이 회사 불매 운동 시작한다
[L] | 이커머스 | 171. 경찰에 사기죄로 신고할 거예요
[L] | 이커머스 | 172. 이메일 전부 캡처했어요 증거 보전 완료입니다
[L] | 이커머스 | 173. 네이버 쇼핑 리뷰에 다 올립니다 사진 20장 찍었어요
[L] | 이커머스 | 174. 소비자 단체에 제보하겠습니다
[L] | 이커머스 | 175. 해지하고 위약금 소송 갈 거야
[L] | 이커머스 | 176. 이 대화 전부 녹취했어요 법적 증거로 쓸 거예요
[L] | 이커머스 | 177. 아프리카TV에서 이 회사 까는 방송 할 거야
[L] | 이커머스 | 178. 한국소비자단체협의회에 접수할게요
[L] | 이커머스 | 179. 불매 운동 카페 만들 거예요 이미 사람 모이고 있어요
[L] | 이커머스 | 180. 법적 대응 준비 중이에요 소장 작성 중입니다
[L] | 이커머스 | 181. 환불 안 해주면 신용카드 분쟁 신청하고 소보원까지 갑니다
[L] | 이커머스 | 182. 택배 파손 영상 찍었어요 유튜브 쇼츠로 올릴 거예요
[L] | 이커머스 | 183. 국민권익위원회에 민원 접수하겠습니다
[L] | 이커머스 | 184. 오늘 방송인 친구한테 얘기했어요 콘텐츠로 나갈 수도 있어요
[L] | 이커머스 | 185. 레딧 코리아에도 올릴 거야 해외에서도 알게 해줄게
[L] | 이커머스 | 186. 소송 비용 다 준비됐어요 법무법인 선임 완료입니다
[L] | 이커머스 | 187. 여기 모든 채팅 캡처본 저장했어요 법정에서 봐요
[L] | 이커머스 | 188. 피해자 모임 카톡방 만들었어요 같이 대응할 거예요
[L] | 이커머스 | 189. 네이버 플레이스에 리뷰 폭탄 갈 거예요
[L] | 이커머스 | 190. 공정거래조정원에 분쟁조정 신청할게요
[L] | 이커머스 | 191. 거래 내역 전부 출력했어요 세무서에도 확인 요청할 거예요
[L] | 이커머스 | 192. 이 건 뉴스데스크에 제보합니다
[L] | 이커머스 | 193. 소비자원 전화 상담 받았는데 신고 가능하대요 접수할게요
[L] | 이커머스 | 194. 지인이 기자예요 이 건 기사화될 겁니다
[L] | 이커머스 | 195. 전자상거래 분쟁조정 접수하겠습니다
[L] | 이커머스 | 196. 피해 사례 모아서 집단소송 준비 중이에요
[L] | 이커머스 | 197. 카카오톡 오픈채팅에 이 회사 피해 사례 공유할 거예요
[L] | 이커머스 | 198. 이메일이랑 채팅 전부 변호사한테 넘겼어요
[L] | 이커머스 | 199. 환불 안 되면 소액재판 가겠습니다 60만 원 이하니까요
[L] | 이커머스 | 200. 시청자 게시판에 올려서 방송 제보할게요 이 회사 고발합니다

============================================================
업종 2: 요식업 (201~400)
============================================================

[H] | 요식업 | 201. 가게 찾아가서 뒤집어엎는다 진짜
[H] | 요식업 | 202. 사장 잡아 패버린다 기다려
[H] | 요식업 | 203. 주방 들어가서 다 부숴버릴 거야
[H] | 요식업 | 204. 배달기사 다음에 오면 죽여버린다
[H] | 요식업 | 205. 가게 유리창 깨버릴 거야 각오해
[H] | 요식업 | 206. 사장 얼굴에 음식 던져버린다
[H] | 요식업 | 207. 찾아가서 불질러버릴 거야 이 가게
[H] | 요식업 | 208. 카페 찾아가서 난리 칠 거야 피 볼 줄 알아
[H] | 요식업 | 209. 시발 이 음식 들고 가서 사장 머리에 부어버린다
[H] | 요식업 | 210. 배달기사 차 번호판 찍었어 찾아간다
[H] | 요식업 | 211. 주방장 나와 죽여버리기 전에
[H] | 요식업 | 212. 가게 앞에서 행패 부릴 거야 각오해라
[H] | 요식업 | 213. 편의점 알바생 목덜미 잡을 거다
[H] | 요식업 | 214. 마트 매니저 잡아서 때려버린다
[H] | 요식업 | 215. 프랜차이즈 본사 찾아가서 부숴버릴 거야
[H] | 요식업 | 216. 배달 음식에 이물질이야? 가게 가서 난리 친다
[H] | 요식업 | 217. 사장 집 알아냈어 찾아갈 거다
[H] | 요식업 | 218. 카페 직원 퇴근길에 잡는다 알겠어
[H] | 요식업 | 219. 이 가게 테이블 다 뒤집어엎는다
[H] | 요식업 | 220. 시발 벌레 나왔는데 사장 잡아 패야지
[H] | 요식업 | 221. 배달기사 집 주소 알아내서 찾아간다
[H] | 요식업 | 222. 가게 간판 부숴버릴 거야 진짜로
[H] | 요식업 | 223. 음식 들고 사장 머리 위에 엎어버린다
[H] | 요식업 | 224. 슈퍼 사장 멱살 잡을 거야 기다려
[H] | 요식업 | 225. 프랜차이즈 대표 찾아가서 죽여버릴 거다
[H] | 요식업 | 226. 카페 매장 기물 다 파손시킨다
[H] | 요식업 | 227. 배달 오면 기사한테 음식 던져버린다
[H] | 요식업 | 228. 가게 주방에 들어가서 냄비 다 엎어버릴 거야
[H] | 요식업 | 229. 편의점 본사 찾아가서 난리 칠 거다
[H] | 요식업 | 230. 이 가게 사장 차 박살내버린다
[H] | 요식업 | 231. 시발 음식에서 머리카락 나왔어 사장 잡으러 간다
[H] | 요식업 | 232. 마트 계산대 부숴버릴 거야 어떻게 이럴 수가
[H] | 요식업 | 233. 배달기사 얼굴 사진 찍었어 찾아간다 진짜
[H] | 요식업 | 234. 이 카페 커피 머신 다 부숴버린다
[H] | 요식업 | 235. 가게 찾아가서 사장 목을 잡아버릴 거야
[H] | 요식업 | 236. 음식 안 오면 가게 가서 불 지른다
[H] | 요식업 | 237. 프랜차이즈 가맹점주 어디 사는지 알아냈어
[H] | 요식업 | 238. 이 편의점 물건 다 쓸어버린다 진짜로
[H] | 요식업 | 239. 카페 바리스타 퇴근 시간 알아 기다릴 거야
[H] | 요식업 | 240. 가게 앞에서 트럭으로 박아버린다
[H] | 요식업 | 241. 배달 음식 바닥에 던지고 사장 잡으러 간다
[H] | 요식업 | 242. 마트 점장 사무실 찾아가서 부숴버릴 거야
[H] | 요식업 | 243. 시발 유통기한 지난 거 팔아? 사장 죽여버린다
[H] | 요식업 | 244. 이 가게 주방 불 질러버릴 거다
[H] | 요식업 | 245. 편의점 알바생 이름 알았다 찾아간다
[H] | 요식업 | 246. 카페 대표 얼굴에 커피 끼얹어버린다
[H] | 요식업 | 247. 배달 앱으로 주소 알아냈어 가게 찾아간다 진짜
[H] | 요식업 | 248. 가게 화장실 다 부숴버릴 거야
[H] | 요식업 | 249. 프랜차이즈 본사 대표 차에 페인트 뿌린다
[H] | 요식업 | 250. 이 슈퍼 사장 밤에 잡는다 기다려
[H] | 요식업 | 251. 매장 CCTV 부숴버리고 난리 칠 거야
[H] | 요식업 | 252. 배달기사 오토바이 박살내버린다
[H] | 요식업 | 253. 가게 문 잠그고 사장이랑 얘기 좀 하자
[H] | 요식업 | 254. 시발 식중독 걸렸어 사장 잡아 패버린다 진짜
[H] | 요식업 | 255. 카페 매장 유리 다 깨버릴 거야
[H] | 요식업 | 256. 음식점 사장 SNS 찾았어 집 주소도 알아낸다
[H] | 요식업 | 257. 배달기사 다음에 만나면 주먹부터 날린다
[H] | 요식업 | 258. 가게 냉장고 엎어버릴 거야 진짜
[H] | 요식업 | 259. 편의점 본사 건물 가서 유리창 깨버린다
[H] | 요식업 | 260. 이 마트 매니저 퇴근길에 잡는다 각오해
[M] | 요식업 | 261. 이 가게 망하게 해줄게 두고 봐
[M] | 요식업 | 262. 각오해 두고 봐라
[M] | 요식업 | 263. 끝장내자 이번에 진짜
[M] | 요식업 | 264. 가만히 안 넘어간다 이 가게
[M] | 요식업 | 265. 이 음식점 문 닫게 해줄게
[M] | 요식업 | 266. 후회하게 해줄 거야 기다려
[M] | 요식업 | 267. 이 건으로 끝까지 간다
[M] | 요식업 | 268. 가만 안 둔다 알겠어 이 가게
[M] | 요식업 | 269. 두고 봐라 반드시 후회하게 만든다
[M] | 요식업 | 270. 이 카페 폐업하게 해줄게
[M] | 요식업 | 271. 배달 음식 이게 뭐야 가만 안 놔둔다
[M] | 요식업 | 272. 이 가게 절대 살아남지 못하게 할 거야
[M] | 요식업 | 273. 끝을 보자 이 프랜차이즈
[M] | 요식업 | 274. 이물질 나왔는데 가만히 있을 줄 알아? 대가를 치른다
[M] | 요식업 | 275. 시발 이 편의점 끝장낼 거야
[M] | 요식업 | 276. 이번에 제대로 안 하면 가만 안 둬
[M] | 요식업 | 277. 이 마트 엉망이네 두고 봐 반드시 갚는다
[M] | 요식업 | 278. 식중독 걸렸는데 가만히 넘어갈 줄 알아?
[M] | 요식업 | 279. 이 가게 사장 큰코다칠 거야
[M] | 요식업 | 280. 환불 안 해주면 어떻게 되는지 보여줄게
[M] | 요식업 | 281. 배달 음식 이 상태로 보내고 무사할 줄 알아?
[M] | 요식업 | 282. 이 카페 반드시 후회하게 해줄 거예요
[M] | 요식업 | 283. 가만히 있을 거 같아? 끝까지 물고 늘어진다
[M] | 요식업 | 284. 음식 퀄리티가 이게 뭐야 이 가게 망하게 만든다
[M] | 요식업 | 285. 보상 안 하면 큰일 나 알겠지
[M] | 요식업 | 286. 프랜차이즈 본사도 가만 안 둔다
[M] | 요식업 | 287. 이 건 절대 잊지 않을 거야 반드시 갚아준다
[M] | 요식업 | 288. 배달비 환불 안 해주면 가만 안 있어요
[M] | 요식업 | 289. 두고 보자 이 가게 어떻게 되나
[M] | 요식업 | 290. 나 만만하게 보지 마 끝까지 간다 진짜
[M] | 요식업 | 291. 이 음식점 이름 망신시켜줄게
[M] | 요식업 | 292. 사장이 사과 안 하면 끝이야
[M] | 요식업 | 293. 위생 이게 뭐야 이 가게 가만 안 놔둘 거야
[M] | 요식업 | 294. 반드시 보복한다 이 편의점
[M] | 요식업 | 295. 이번 일은 절대 그냥 못 넘어가 각오하세요
[M] | 요식업 | 296. 음식에서 이물질 나왔는데 가만두나 봐라
[M] | 요식업 | 297. 이 카페 끝장이야 두고 봐
[M] | 요식업 | 298. 배달 지연에 음식 차갑고 가만 안 있는다
[M] | 요식업 | 299. 이 마트 담당자 후회하게 해줄 거야
[M] | 요식업 | 300. 시발 이 가게 때문에 탈났어 대가를 치르게 해줄게
[M] | 요식업 | 301. 사장 나와 이번엔 참지 않을 거야
[M] | 요식업 | 302. 이 프랜차이즈 가맹점주 큰코다칠 줄 알아
[M] | 요식업 | 303. 환불도 안 해주고 사과도 안 해? 두고 보자
[M] | 요식업 | 304. 이 가게 때문에 손해 본 거 전부 갚아줄 거야
[M] | 요식업 | 305. 배달기사 태도가 뭐야 이 회사 끝장낸다
[M] | 요식업 | 306. 가만히 있을 줄 아냐 끝을 볼 거야
[M] | 요식업 | 307. 이 음식점 이렇게 장사하면 안 되는 거야 알려줄게
[M] | 요식업 | 308. 사과 한마디 없네 두고 보자 반드시 갚는다
[M] | 요식업 | 309. 음식 퀄리티 이게 뭐야 이 건은 끝까지 간다
[M] | 요식업 | 310. 이 카페 사장 반드시 후회할 거야
[M] | 요식업 | 311. 편의점 본사도 가만 안 놔둘 거예요
[M] | 요식업 | 312. 이번에 대충 넘기면 안 돼 끝장 보자
[M] | 요식업 | 313. 배달 음식 상태 보고 가만히 있을 사람 아니야
[M] | 요식업 | 314. 이 가게 큰 타격 줄 거야 기다려
[M] | 요식업 | 315. 사장이 이러면 안 되지 반드시 책임지게 한다
[M] | 요식업 | 316. 프랜차이즈면 더 크게 갈 수 있어 각오해
[M] | 요식업 | 317. 시발 이 음식 먹고 배탈났어 가만 안 둔다
[M] | 요식업 | 318. 이 건 절대 포기 안 하니까요
[M] | 요식업 | 319. 가게 매출 바닥나게 해줄게
[M] | 요식업 | 320. 이 마트 직원 태도 뭐야 가만 안 넘어간다
[M] | 요식업 | 321. 이 가게 끝을 보겠다 진짜
[M] | 요식업 | 322. 배달 사고 났는데 가만히 넘어갈 줄 알아? 큰코다친다
[M] | 요식업 | 323. 음식점 사장 어떤 대가를 치르게 될지 보여줄게
[M] | 요식업 | 324. 이번 건으로 이 카페 타격 크게 줄 거야
[M] | 요식업 | 325. 슈퍼 사장 가만히 안 넘어갈 거야 각오해
[M] | 요식업 | 326. 이 가게 때문에 병원까지 갔어 절대 용서 안 한다
[M] | 요식업 | 327. 편의점 이번 건 그냥 못 넘겨 끝까지 간다
[M] | 요식업 | 328. 배달 플랫폼이고 가게고 다 가만 안 둔다
[M] | 요식업 | 329. 이 음식점 상호 걸고 장사 못 하게 해줄게
[M] | 요식업 | 330. 사장 나와서 해명해 안 그러면 끝이야
[L] | 요식업 | 331. 배민 리뷰에 다 쓴다 사진 포함해서
[L] | 요식업 | 332. 식약처에 신고합니다
[L] | 요식업 | 333. 보건소에 위생검사 요청할 거예요
[L] | 요식업 | 334. 별점 1점 테러 갈 거야 모든 플랫폼에
[L] | 요식업 | 335. 사진 찍어서 SNS에 다 올린다
[L] | 요식업 | 336. 뉴스에 제보할 거예요 이물질 증거 다 있어요
[L] | 요식업 | 337. 소비자원에 접수할게요
[L] | 요식업 | 338. 위생 불량 신고합니다 관할 구청에
[L] | 요식업 | 339. 맛집 카페에 이 가게 비추 후기 올린다
[L] | 요식업 | 340. 변호사한테 상담받았어요 손해배상 가능하대요
[L] | 요식업 | 341. 인스타에 이 가게 태그해서 올릴 거예요
[L] | 요식업 | 342. 식중독 진단서 받았어요 소송 갈 거예요
[L] | 요식업 | 343. 쿠팡이츠 리뷰에 사진 10장이랑 같이 올린다
[L] | 요식업 | 344. 소비자보호원 접수하고 녹취록 제출할게요
[L] | 요식업 | 345. 유튜브에 이 가게 리뷰 올릴 거야 구독자 많아
[L] | 요식업 | 346. 위생등급 재심사 요청합니다
[L] | 요식업 | 347. 프랜차이즈 본사 고객센터에도 민원 넣을 거예요
[L] | 요식업 | 348. 녹취했어요 증거 다 있으니까 법적 대응합니다
[L] | 요식업 | 349. 블로그에 이 가게 비추 후기 상세하게 올린다
[L] | 요식업 | 350. 국민신문고에 민원 넣겠습니다 식품위생법 위반이에요
[L] | 요식업 | 351. 배달의민족이랑 요기요 동시에 리뷰 남긴다
[L] | 요식업 | 352. 진단서 떼서 손해배상 청구할 거예요
[L] | 요식업 | 353. 식품의약품안전처에 신고합니다 증거사진 첨부해서
[L] | 요식업 | 354. 맘카페에 이 가게 주의 게시글 올릴 거예요
[L] | 요식업 | 355. 카드사에 결제 취소 분쟁 넣을게요
[L] | 요식업 | 356. 이 가게 영업정지 되게 해줄게 신고한다
