[H] | 이커머스-디지털가전 | 1. 와 노트북 배송 진짜 빠르다 주문하고 열흘밖에 안 걸렸네요
[H] | 이커머스-생활잡화 | 47. 벽걸이 선반이 하루 만에 떨어졌는데 제 벽이 문제겠죠 당연히
[H] | 이커머스-생활잡화 | 48. 야외용 돗자리래서 소풍 갔더니 바닥 습기가 그대로 올라와요 자연친화적이네요
[H] | 이커머스-생활잡화 | 49. 무소음 시계래서 샀는데 초침 소리가 들려요 제 귀가 너무 좋은 거겠죠 ㅎㅎ
[H] | 이커머스-생활잡화 | 50. 다리미가 스팀이 안 나오는데 드라이 모드 전용인가 보죠 뭐
[H] | 이커머스-생활잡화 | 51. 에코백이 한 번 빨았더니 줄어들었어요 환경도 살리고 사이즈도 줄이고 일석이조네요
[H] | 이커머스-생활잡화 | 52. 칼이 안 들어요 안전을 위한 설계인가 보다 역시 고객을 생각하시네
[H] | 이커머스-생활잡화 | 53. 욕실 매트가 미끄러운데 스릴을 즐기라는 의미인가요
[H] | 이커머스-생활잡화 | 54. LED 스탠드 밝기 조절이 5단계라는데 1단계나 5단계나 똑같아 보여요 제 눈이 문제겠죠
[H] | 이커머스-생활잡화 | 55. 분리수거함 뚜껑이 안 닫혀요 개방형 디자인 감사합니다
[H] | 이커머스-생활잡화 | 56. 물티슈가 한 장씩 안 뽑히고 다섯 장씩 나와요 넉넉하게 주시는 거네요
[H] | 이커머스-생활잡화 | 57. 실리콘 주걱이 녹았어요 내열 250도라더니 제 프라이팬이 너무 뜨거웠나 봐요
[H] | 이커머스-생활잡화 | 58. 휴지걸이가 나사 없이 붙이는 거라 편해요 3일마다 떨어지는 것만 빼면
[H] | 이커머스-의류패션 | 59. 프리사이즈라더니 제 몸이 프리하지 않은 거였네요 ㅋㅋ
[H] | 이커머스-의류패션 | 60. 색상이 사진이랑 완전 같아요 모니터를 끄면요
[H] | 이커머스-의류패션 | 61. 신발이 편하대서 샀는데 발볼이 좁으신 분이 리뷰를 쓰신 거였군요
[H] | 이커머스-의류패션 | 62. 원피스 길이가 모델 착용샷이랑 같아요 모델이 180인 것만 빼면
[H] | 이커머스-의류패션 | 63. 세탁기 돌렸더니 줄어들었는데 손세탁 전용인 걸 안 적어놓으신 건 서프라이즈인가요
[H] | 이커머스-의류패션 | 64. 가죽 가방이래서 샀는데 비 맞으니까 색이 빠지네요 진짜 가죽 맞죠? ㅎㅎ
[H] | 이커머스-의류패션 | 65. 겨울 패딩이 따뜻하대서 샀는데 바람이 솔솔 들어와요 통풍 기능인가 보다
[H] | 이커머스-의류패션 | 66. 반품하려는데 태그 떼면 안 된대요 입어보지도 말라는 건가요 ㅋㅋ
[H] | 이커머스-의류패션 | 67. 고급 소재라더니 한 번 입었는데 보풀이 대단해요 양털 코스프레인가요
[H] | 이커머스-의류패션 | 68. 사이즈 교환하려니까 품절이래요 살 때는 있었는데 참 신기하네요
[H] | 이커머스-의류패션 | 69. 실측 사이즈가 표기랑 3cm 차이나는데 오차 범위라니 관대하시네요
[H] | 이커머스-의류패션 | 70. 운동화 밑창이 일주일 만에 벌어졌는데 이건 제가 너무 많이 걸은 거겠죠
[H] | 이커머스-의류패션 | 71. 방수 자켓이래서 비 오는 날 입었더니 안까지 젖었어요 사우나 효과까지 주시네요
[H] | 이커머스-의류패션 | 72. 링 사이즈가 안 맞아서 교환하려는데 맞춤 제작이라 교환 불가래요 처음부터 말해주시지
[H] | 이커머스-의류패션 | 73. 모자가 바람 불면 날아가는데 이건 모자가 아니라 프리스비 아닌가요
[H] | 이커머스-의류패션 | 74. 면 100%라더니 촉감이 폴리에스터인 건 새로운 면인가 보네요
[H] | 이커머스-의류패션 | 75. 청바지 물빠짐 주의라고 적어놓으셨는데 물빠짐이 아니라 물폭탄이에요
[H] | 이커머스-의류패션 | 76. 스타킹이 신자마자 올이 나갔는데 원래 일회용인 건가요
[H] | 이커머스-의류패션 | 77. 핸드메이드라 하나하나 다르대요 네 제 거만 못생긴 것도 핸드메이드의 매력이죠
[H] | 이커머스-의류패션 | 78. 벨트 구멍이 제일 작은 데도 헐렁한데 이건 벨트가 큰 건가요 제가 마른 건가요
[H] | 이커머스-의류패션 | 79. 선글라스 코팅이 벗겨졌는데 한정판이라 교환도 안 된대요 진짜 한정적이네요
[H] | 이커머스-의류패션 | 80. 양말 짝짝이로 왔는데 다양성을 존중하신 건가요 ㅋㅋㅋ
[H] | 이커머스-의류패션 | 81. 셔츠 다림질이 필요 없다더니 구김이 패턴인가 봐요 아방가르드하네요
[H] | 이커머스-의류패션 | 82. 니트가 늘어났는데 오버핏 트렌드를 미리 반영하신 거군요
[H] | 이커머스-의류패션 | 83. 지퍼가 안 올라가는데 다이어트 하라는 메시지인가요 감사합니다
[H] | 이커머스-의류패션 | 84. 리뷰에 다 좋다고 해서 샀는데 다 사장님 댓글이었네요 부지런하시다
[H] | 이커머스-의류패션 | 85. 가방 스트랩이 끊어졌는데 가벼운 짐만 넣으라는 뜻이었나 봐요
[H] | 이커머스-의류패션 | 86. 슬리퍼가 미끄러운데 실내 스케이트 체험용인가요
[H] | 이커머스-식품 | 87. 유통기한이 내일까지인 걸 오늘 받았는데 신선도의 극한을 추구하시네요
[H] | 이커머스-식품 | 88. 아이스박스에 아이스팩 없이 와서 실온 숙성된 고기를 받았어요 감사합니다
[H] | 이커머스-식품 | 89. 1kg이라더니 포장재 무게가 300g이네요 포장도 상품인 거죠
[H] | 이커머스-식품 | 90. 건강즙이 건강해지는 맛이래서 샀는데 맛으로는 확실히 건강해질 것 같아요 ㅋㅋ
[H] | 이커머스-식품 | 91. 와 과일이 진짜 달아요 반은 썩었는데 나머지 반은 달아요
[H] | 이커머스-식품 | 92. 프리미엄 한우라더니 호주산이었어요 호주에도 한우가 있나 봐요
[H] | 이커머스-식품 | 93. 무농약이래서 비싸게 샀는데 벌레가 같이 와서 진짜 무농약이긴 하네요
[H] | 이커머스-식품 | 94. 밀키트 2인분이라는데 1인분도 모자라요 다이어트 식단이었나 보다
[H] | 이커머스-식품 | 95. 냉동 배송이라면서 녹아서 왔는데 해동 서비스까지 해주시네요
[H] | 이커머스-식품 | 96. 건과일인데 눅눅해요 세미드라이 컨셉인가 보네요
[H] | 이커머스-식품 | 97. 오가닉 주스래서 기대했는데 설탕이 두 번째 원재료네요 유기농 설탕이겠죠 뭐
[H] | 이커머스-식품 | 98. 찌개 양념이 4인분이라는데 짜서 40인분도 가능할 것 같아요
[H] | 이커머스-식품 | 99. 새벽배송이래서 기다렸는데 오후에 왔어요 새벽의 정의가 다른가 보네요
[H] | 이커머스-식품 | 100. 글루텐프리라더니 성분표에 밀가루 있는 건 프리의 의미가 무료인 건가요
[H] | 이커머스-식품 | 101. 리뷰에 맛있다길래 샀는데 유통기한 임박 상품이었어요 맛은 있었겠죠 예전엔
[H] | 이커머스-식품 | 102. 견과류 500g 샀는데 봉지 뜯으니까 반이 부스러기예요 가루도 견과류 맞긴 하죠
[H] | 이커머스-식품 | 103. 매운맛이래서 기대했는데 초등학생 입맛 기준이었나 봐요
[H] | 이커머스-식품 | 104. 친환경 포장이라 종이박스에 넣어주셨는데 안에서 다 깨져있어요 환경은 살리고 상품은 죽이셨네요
[H] | 이커머스-식품 | 105. 산지 직송이래서 기대했는데 택배 기사님이 산지에서 직접 출발하신 건가 봐요 5일 걸리신
[H] | 이커머스-식품 | 106. 다이어트 식품인데 칼로리가 일반 과자랑 같아요 맛있는 다이어트 식품이네요
[H] | 이커머스-식품 | 107. 제철 과일이래서 샀는데 지금이 제철이 아닌 거잖아요 계절을 앞서가시네
[H] | 이커머스-식품 | 108. 수제 잼이래서 비싸게 샀는데 공장 라벨이 붙어있어요 공장도 수제의 일종이죠
[H] | 이커머스-식품 | 109. 저당이라면서 100ml당 당류 15g이면 저당의 기준이 관대하시네요 ㅋㅋ
[H] | 이커머스-식품 | 110. 선물세트 포장이 고급스러워요 안에 빈 공간이 80%인 것만 빼면요
[H] | 이커머스-식품 | 111. 프로틴바가 건강한 맛이래요 네 맛없다는 뜻이었구나 이해했어요
[H] | 이커머스-식품 | 112. 떡이 딱딱해서 문의했더니 전자레인지에 돌리래요 그걸 적어놓으시지
[H] | 이커머스-식품 | 113. 와 김치가 시원하네요 진짜 시원해요 배송 중에 발효가 다 됐나 봐요
[H] | 이커머스-식품 | 114. 무항생제 계란이래서 믿고 샀는데 노른자가 하얘요 이것도 프리미엄인가요
[H] | 이커머스-식품 | 115. 곰탕이 진하대서 기대했는데 물이 더 진한 것 같아요
[H] | 이커머스-가구인테리어 | 116. 조립식 책상인데 설명서대로 했는데 나사가 3개 남았어요 서비스 감사합니다
[H] | 이커머스-가구인테리어 | 117. 원목 가구래서 샀는데 MDF네요 나무에서 나왔으니 원목 맞긴 하죠
[H] | 이커머스-가구인테리어 | 118. 침대 매트리스가 편하대서 샀는데 바닥이 더 편해요
[H] | 이커머스-가구인테리어 | 119. 조립 설명서가 이케아보다 어려운데 이건 지능 테스트인가요
[H] | 이커머스-가구인테리어 | 120. 소파가 사진이랑 색이 달라서 문의했더니 모니터마다 다르대요 네 제 모니터 탓이죠
[H] | 이커머스-가구인테리어 | 121. 행거 최대 하중 30kg이라더니 옷 다섯 벌 걸었는데 기울어져요 옷이 무거운 거겠죠
[H] | 이커머스-가구인테리어 | 122. 화장대 거울에 흠집이 있는데 빈티지 감성이라고 해야 하나요
[H] | 이커머스-가구인테리어 | 123. 붙이는 벽지가 한 시간 만에 떨어졌는데 제 벽이 문제인 거죠 확실히
[H] | 이커머스-가구인테리어 | 124. 식탁 다리가 흔들리는데 이건 빈티지 감성인 건가요 아님 불량인 건가요
[H] | 이커머스-가구인테리어 | 125. 수납장이 크다고 해서 샀는데 신발 두 켤레 들어가는 게 큰 거면 네 큰 거네요
[H] | 이커머스-가구인테리어 | 126. 방음 커튼이래서 샀는데 옆집 TV 소리가 그대로 들려요 방음의 기준이 뭔가요 ㅋㅋ
[H] | 이커머스-가구인테리어 | 127. LED 조명이 분위기 있대서 샀는데 형광등이랑 뭐가 다른 건지 모르겠어요
[H] | 이커머스-가구인테리어 | 128. 책장이 조립하는 데 4시간 걸렸는데 이건 가구가 아니라 퍼즐이에요
[H] | 이커머스-가구인테리어 | 129. 배송 기사님이 문 앞에 두고 가셨는데 3층인데요 감사합니다
[H] | 이커머스-가구인테리어 | 130. 러그가 세탁하면 줄어든대요 그럼 세탁 못 하는 러그를 왜 파시는 건가요
[H] | 이커머스-가구인테리어 | 131. 접이식 의자가 접히지가 않아요 구조적 안정성을 위한 설계인가 보죠
[H] | 이커머스-가구인테리어 | 132. 인테리어 소품이 사진이랑 완전 같아요 크기가 반인 것만 빼면
[H] | 이커머스-가구인테리어 | 133. 선반 부속품이 하나 빠져있어서 문의했더니 재입고 2주래요 선반 없이 2주를 버티라는 거네요
[H] | 이커머스-가구인테리어 | 134. 매트리스 쿠션감이 좋대서 샀는데 바닥이 느껴지는 쿠션감이네요 새로운 경험이에요
[H] | 이커머스-가구인테리어 | 135. 가구 색상이 '웜그레이'래서 샀는데 그냥 회색이에요 웜은 어디 간 거예요
[H] | 이커머스-가구인테리어 | 136. 원룸용 미니 가구래서 샀는데 미니어처인 것 같아요 인형의 집 컨셉인가
[H] | 이커머스-가구인테리어 | 137. 설치 서비스 포함이라 추가금 냈는데 기사님이 공구를 안 가져오셨어요 관람 서비스였나 보네요
[H] | 이커머스-가구인테리어 | 138. 시공 후기 보고 샀는데 후기 사진이 전부 보정이었어요 리얼이라더니
[H] | 이커머스-가구인테리어 | 139. 행거 높이 조절이 된다면서요 볼트를 다 풀어야 하는 것도 조절이라면 네 맞아요
[H] | 이커머스-가구인테리어 | 140. 블라인드 시공했는데 빛이 줄줄 새요 자연광 충만한 방을 만들어주셨네요
[H] | 이커머스-가구인테리어 | 141. 욕실 선반이 습기에 강하대서 샀는데 한 달 만에 녹슬었어요 한 달은 강하게 버틴 거네요
[H] | 이커머스-가구인테리어 | 142. 스마트 조명이라면서 앱 연동이 안 되는데 그냥 조명이잖아요 스마트는 이름뿐이었네
[H] | 이커머스-가구인테리어 | 143. 벽선반 하중 10kg이라더니 책 세 권에 처졌어요 책이 무거운 거겠죠
[H] | 이커머스-뷰티화장품 | 144. 올데이 지속이라더니 2시간 만에 무너졌어요 오전 올데이인가 봐요
[H] | 이커머스-뷰티화장품 | 145. 피부 톤업이 확실해요 세수하면 다시 원래대로인 것만 빼면요
[H] | 이커머스-뷰티화장품 | 146. 민감성 피부용이래서 샀는데 바르자마자 뒤집어졌어요 민감하게 반응하긴 하네요
[H] | 이커머스-뷰티화장품 | 147. 자연유래 성분 98%라면서요 나머지 2%가 뭔지 궁금한데 안 적혀있네요 비밀인가 봐요
[H] | 이커머스-뷰티화장품 | 148. 리뷰가 다 좋길래 샀는데 체험단 리뷰였어요 그래도 리뷰는 리뷰죠 ㅋㅋ
[H] | 이커머스-뷰티화장품 | 149. 색상이 '웜코랄'이래서 샀는데 형광 주황색이에요 웜의 극한이시네요
[H] | 이커머스-뷰티화장품 | 150. 선크림 50ml에 3만원이면 금가루 들어간 거죠?
[H] | 이커머스-뷰티화장품 | 151. 주름 개선 효과가 있대서 한 달 썼는데 주름이 더 늘었어요 역방향 개선인가요
[H] | 이커머스-뷰티화장품 | 152. 올인원 제품이래서 간편할 줄 알았는데 이것만 바르면 건조해서 결국 다 발라요 올인원의 의미가
[H] | 이커머스-뷰티화장품 | 153. 유통기한이 3개월 남은 걸 정가에 파시네요 아낌없이 주시는 건 아니고요
[H] | 이커머스-뷰티화장품 | 154. 비건 화장품이래서 기대했는데 동물실험 안 했다는 것만 비건이고 성분은 화학물질 파티네요
[H] | 이커머스-뷰티화장품 | 155. 파운데이션 색상 21호 샀는데 제 피부에서는 31호 같아요 제 피부가 문제겠죠
[H] | 이커머스-뷰티화장품 | 156. 향수가 지속력 8시간이라더니 한 시간 만에 날아갔어요 은은한 거긴 하네요 존재감이
[H] | 이커머스-뷰티화장품 | 157. 속눈썹 영양제가 효과 있대서 석 달 썼는데 변화 없어요 눈에 안 보이는 효과인가 봐요
[H] | 이커머스-뷰티화장품 | 158. 미스트가 촉촉하대서 뿌렸는데 끈적거려요 촉촉과 끈적은 다른 거 아닌가요
[H] | 이커머스-뷰티화장품 | 159. 모공 축소 효과가 있다길래 기대했는데 모공이 더 잘 보여요 선명 효과였나 봐요
[H] | 이커머스-뷰티화장품 | 160. 클렌징 오일이 순하대서 샀는데 눈에 들어가니까 엄청 따가워요 순한 건 피부한테만인가 봐요
[H] | 이커머스-뷰티화장품 | 161. 핸드크림 향이 은은하대서 샀는데 버스에서 바르니까 옆 사람이 쳐다봐요 은은하다 정말
[H] | 이커머스-뷰티화장품 | 162. 트러블 진정이라더니 바르고 나서 트러블이 생겼어요 생긴 걸 진정시키라는 뜻이었나
[H] | 이커머스-뷰티화장품 | 163. 네일 스티커가 하루 만에 떨어졌는데 매일 새로운 디자인을 즐기라는 의미인가요
[H] | 이커머스-뷰티화장품 | 164. 마스크팩 1장에 5천원인데 10분 쓰고 버리는 거면 분당 500원이네요 럭셔리 맞다
[H] | 이커머스-뷰티화장품 | 165. 염색약이 자연스럽대서 샀는데 머리가 초록빛이에요 자연의 색이긴 하네요
[H] | 이커머스-뷰티화장품 | 166. 립스틱 발색이 사진이랑 같아요 보정된 사진이랑요
[H] | 이커머스-뷰티화장품 | 167. 바디워시가 보습력이 좋대서 샀는데 씻고 나면 뽀드득거려요 보습은 마음으로 하는 건가 봐요
[H] | 이커머스-뷰티화장품 | 168. 여드름 패치가 잘 붙대서 샀는데 떼니까 피부까지 같이 벗겨져요 각질 제거 겸용이었나
[H] | 이커머스-뷰티화장품 | 169. 두피 에센스가 탈모에 효과 있대서 석 달 썼는데 빠지는 속도는 일정해요 효과 없는 건 아니고 유지해주신 거겠죠
[H] | 이커머스-뷰티화장품 | 170. 샘플을 넉넉히 주신대서 기대했는데 한 개 주셨어요 넉넉의 기준이 다르시네요
[H] | 이커머스-뷰티화장품 | 171. 쿠션 퍼프가 한 달 만에 찢어졌는데 교체 주기가 한 달이라고 하시면 할 말 없죠
[H] | 이커머스-출산육아 | 172. 아기 물티슈가 순하대서 샀는데 아기 엉덩이가 빨갛게 올라왔어요 순한 자극인가 봐요
[H] | 이커머스-출산육아 | 173. 유모차가 가볍대서 샀는데 한 손으로 접는 건 역도 선수 기준인가요
[H] | 이커머스-출산육아 | 174. 분유 온도 조절 포트라면서 온도가 매번 달라요 서프라이즈 온도 기능이네요
[H] | 이커머스-출산육아 | 175. 아기 침대 안전인증 받았다면서 난간이 흔들려요 안전의 기준이 관대하시네요
[H] | 이커머스-출산육아 | 176. 젖병 소독기가 소독이 안 되는 것 같은데 이건 제가 너무 깐깐한 건가요
[H] | 이커머스-출산육아 | 177. 기저귀가 새지 않는다면서요 한 시간 만에 새는 건 제 아기가 특별한 거겠죠
[H] | 이커머스-출산육아 | 178. 이유식 재료가 유기농이래서 비싸게 샀는데 원산지가 안 적혀있어요 유기농의 출처는 비밀인가요
[H] | 이커머스-출산육아 | 179. 카시트 설치가 간편하대서 샀는데 설명서가 30페이지예요 간편의 기준이 뭐예요
[H] | 이커머스-출산육아 | 180. 아기띠가 편하대서 샀는데 30분 만에 어깨가 끊어질 것 같아요 아기한테만 편한 거였네요
[H] | 이커머스-출산육아 | 181. 아기 식기가 떨어뜨려도 안 깨진다면서 한 번에 깨졌어요 제가 너무 세게 떨어뜨린 거겠죠
[H] | 이커머스-출산육아 | 182. 아기 세제가 무향이래서 샀는데 화학적인 냄새가 나요 향이 아니니까 무향 맞는 건가요 ㅋㅋ
[H] | 이커머스-출산육아 | 183. 수유쿠션이 빵빵하대서 샀는데 하루 만에 꺼졌어요 빵빵한 첫날의 추억이네요
[H] | 이커머스-출산육아 | 184. 아기 보습제가 24시간 보습이라면서 두 시간 만에 건조해지는데요 24시간은 실험실 기준인가요
[H] | 이커머스-출산육아 | 185. 치발기가 안전한 소재라면서 냄새가 나는 건 안전한 냄새인 거죠?
[H] | 이커머스-출산육아 | 186. 이유식 키트가 편리하대서 샀는데 준비할 게 10가지예요 준비가 편리한 거지 사용이 편리한 건 아닌 거네요
[H] | 이커머스-출산육아 | 187. 아기 모빌이 자동 회전이래서 기대했는데 건전지가 하루에 빠져요 건전지 회사랑 협업인가요
[H] | 이커머스-출산육아 | 188. 범퍼 침대가 안전하대서 샀는데 아기가 빠져나와요 탈출 연습용이었나 보네요
[H] | 이커머스-출산육아 | 189. 아기 옷이 오가닉 코튼이래서 비싸게 샀는데 한 번 빨았더니 줄어들었어요 오가닉이라 자연으로 돌아가려나 봐요
[H] | 이커머스-출산육아 | 190. 장난감이 무독성이라면서 색이 빠지는 건 무독성 색이라서 괜찮은 건가요
[H] | 이커머스-출산육아 | 191. 아기 로션이 피부과 추천이래서 샀는데 어느 피부과인지 안 알려주시네요 비밀 피부과인가
[H] | 이커머스-출산육아 | 192. 보행기가 안전 잠금이 있다면서 잠금이 풀려요 잠금도 쉬어야 하나 봐요
[H] | 이커머스-출산육아 | 193. 출산 가방 세트가 필수품만 넣었대서 샀는데 하나도 안 쓸 것 같은 게 들어있어요 필수의 기준이 뭔가요
[H] | 이커머스-출산육아 | 194. 아기 선크림이 순하다면서 바르니까 울어요 아기도 느끼는 순한 자극이네요
[H] | 이커머스-출산육아 | 195. 이유식 보관용기 밀폐가 완벽하대서 샀는데 국물이 새요 밀폐의 정의를 다시 확인해주세요
[H] | 이커머스-출산육아 | 196. 아기 수저 세트가 인체공학이래서 기대했는데 아기가 못 잡아요 인체공학은 어른 기준이었나 봐요
[H] | 이커머스-출산육아 | 197. 아기 체온계가 정확하다면서 잴 때마다 0.5도씩 달라요 정확하게 다른 거네요
[H] | 이커머스-출산육아 | 198. 턱받이가 방수래서 샀는데 옷까지 다 젖었어요 방수는 턱받이만 하는 거였네요
[H] | 이커머스-출산육아 | 199. 놀이매트가 소음 방지라면서 뛰면 아래층에서 올라와요 걸으라는 의미였나 봐요
[H] | 이커머스-출산육아 | 200. 아기 욕조가 접이식이래서 샀는데 목욕 중에 접혀요 스릴 넘치는 목욕 타임이네요
[H] | 요식업-음식점 | 1. 배달 30분이라더니 1시간 만에 오셨네요 시간 넉넉히 잡으시는 스타일이시구나
[H] | 요식업-음식점 | 2. 양이 진짜 푸짐해요 숟가락 세 번이면 끝나는 푸짐함
[H] | 요식업-음식점 | 3. 리뷰 사진이랑 실물이 쌍둥이에요 이란성이지만
[H] | 요식업-음식점 | 4. 배달비 3천원에 최소주문 만오천원이면 가성비 최고네요 ㅋㅋ
[H] | 요식업-음식점 | 5. 짜장면에 고기가 보물찾기 수준이에요 하나 찾으면 행운인
[H] | 요식업-음식점 | 6. 곱빼기 시켰는데 보통이랑 차이를 모르겠어요 눈이 나쁜 건가 제가
[H] | 요식업-음식점 | 7. 매운맛 주문했는데 안 매워요 이게 매운 거면 순한맛은 물인가요
[H] | 요식업-음식점 | 8. 찌개가 식어서 왔는데 배달 중에 자연 냉각 서비스까지 해주시네요
[H] | 요식업-음식점 | 9. 반찬이 세 가지나 돼요 김치 깍두기 콩나물 삼총사
[H] | 요식업-음식점 | 10. 서빙이 30분 걸렸는데 정성을 들이신 거겠죠 당연히
[H] | 요식업-음식점 | 11. 음식에서 머리카락 나왔는데 직원분이 사과하시길래 됐어요 일상이니까요 ㅋㅋ
[H] | 요식업-음식점 | 12. 포장 주문했는데 국물이 다 샜어요 국물 빼기 서비스인가요
[H] | 요식업-음식점 | 13. 프랜차이즈라 맛이 동일하대요 네 어디서 먹어도 똑같이 별로예요
[H] | 요식업-음식점 | 14. 웨이팅 20분이라더니 50분 기다렸는데 시간의 흐름이 다른 세계인가 봐요
[H] | 요식업-음식점 | 15. 주차장 있다고 해서 갔더니 차 한 대 겨우 들어가는 공간이에요 주차장의 미니멀리즘이네요
[H] | 요식업-음식점 | 16. 런치 세트가 합리적이래서 왔는데 밥 양이 주먹밥 수준이에요
[H] | 요식업-음식점 | 17. 고기 질이 좋대서 왔는데 질기네요 좋은 질감이라는 뜻이었나 봐요
